ARCOXIA<sup>®</sup> | 35852769	1 tabl. powl. zawiera 30 mg, 60 mg lub 90 mg etorykoksybu
ATryn | 21116760	Produkt ma postać prosz. do sporz. roztw. do inf. i zawiera nominalnie 1750 j.m. antytrombiny &alpha; w fiol. Po odtworzeniu w 10 ml wody do wstrzykiwań produkt zawiera około 175 j.m./ml antytrombiny &alpha;. Antytrombina &alpha; jest rekombinowaną postacią antytrombiny ludzkiej. Jest wytwarzana metodą rekombinacji DNA i uzyskiwana z mleka transgenicznych kóz. Moc (j.m.) jest oznaczana metodą Farmakopei Europejskiej dającą reakcję barwną. Swoista aktywność ATryn wynosi w przybliżeniu 7 j.m./mg białka.
Acarizax 12 SQ-HDM | 36501734	Standaryzowany wyciąg alergenowy roztoczy kurzu domowego <i>Dermatophagoides pteronyssinus</i> i <i>Dermatophagoides farinae</i>, zawierający 12 SQ-HDM w liofolizacie doustnym.
Accupro<sup>®</sup> 5; -10; -20; -40 | 14	1 tabl. powl. zawiera 5,416 mg, 10,832 mg, 21,664 mg lub 43,328 mg chinaprylu chlorowodorku co odpowiada 5 mg, 10 mg, 20 mg, lub 40 mg chinaprylu.
Accusol 35 Potassium 2 mmol/l; -4 mmol/l | 11142081	Na 1000 ml: komora duża "A" zawiera wapnia chlorek dwuwodny 0,343 g, magnezu chlorek sześciowodny 0,136 g, sodu chlorek 7,66 g, potasu chlorek 0,199 g, glukoza jednowodna. 1,47 g i komora mała "B" zawiera sodu wodorowęglan 12,9 g. 5000 ml roztw. końcowego powstaje  w wyniku zmieszania 3750 ml roztw. "A" z 1250 ml roztw. "B"; pH roztw. końcowego wynosi 7,0-7,5.
Acular | 11142137	1 ml roztw. zawiera 5 mg ketorolaku trometamolu oraz substancje pomocnicze, m.in. benzalkoniowy chlorek.
Addamel<sup>®</sup> N | 48	1 ml preparatu zawiera 0,02 µmol chromu, 2 µmol miedzi, 2 µmol żelaza, 0,5 µmol manganu, 0,02 µmol molibdenu, 10 µmol cynku, 5 µmol fluoru, 0,1 µmol jodu, 0,04 µmol selenu, 5,12 µmol sodu i 0,1 µmol potasu.
Advate | 13012147	1 fiolka zawiera 250 j.m., 500 j.m., 1000 j.m., 1500 j.m., 2000 j.m. lub 3000 j.m. ludzkiego czynnika VIII (rDNA) oktokogu alfa.
Aflunov | 11014779	1 dawka 0,5 ml zawiera antygeny powierzchniowe wirusa grypy (hemaglutynina i neuraminidaza), namnażanego w zarodkach kurzych, szczepu: A/Vietnam/1194/2004 (H5N1) - podobny, zastosowany szczep (NIBRG-14) 7,5 µg hemaglutyniny.
Albunorm 5%; -20% | 11142262	Lek jest roztworem zawierającym 50 g/l lub 20 g/l białka całkowitego, w tym co najmniej 96% albuminy ludzkiej.
Alburex 5; -20 | 10825572	Lek jest roztw. zawierającym 50 g/l lub 200g/l białka całkowitego, w tym co najmniej 96% stanowi ludzka albumina. Lek hiperonkotyczny w stosunku do normalnego osocza.
Aldurazyme | 1786526	1 ml zawiera 100 j. (około 0,58 mg) laronidazy. Każda fiolka 5 ml zawiera 500 j. laronidazy. Jednostka aktywności jest zdefiniowana jako ilość enzymu niezbędna do hydrolizy jednego mikromola substratu (4-MUI) na minutę. Laronidaza jest rekombinowaną postacią ludzkiej &alpha;-L-iduronidazy i jest produkowana metodą rekombinacji DNA z zastosowaniem hodowli komórek ssaka - komórek jajnikowych chomika chińskiego (CHO - <i>Chinese Hamster Ovary</i>).
Altzer | 12200594	1 tabl. powl. zawiera 5 mg lub 10 mg chlorowodorku donepezylu, co odpowiada 4,56 mg lub 9,12 mg donepezylu w postaci wolnej zasady.
Alyostal | 228551	1 fiolka (3 ml) roztworu zawiera wyciągi alergenowe standaryzowane wyciągi alergenowe - o stężeniu 100 IR/ml oraz niestandaryzowane wyciągi alergenowe - o stężeniu 100 IC/ml.
Ambirix | 13474660	1 ml zawiera 720 jednostek ELISA wirusa <i>Hepatitis A</i> (inaktywowanego) i 20 &mu;g antygenu powierzchniowego <i>Hepatitis B.</i>
Aminomel 10; -12,5 E; -Nephro | 11142398	Roztwór do infuzji - roztwór L-aminokwasów (100 g/l lub 125 g/l) z elektrolitami.
