6%; -10% Hydroksyetyloskrobia 200/0,5 Baxter | 11145525	1 ml roztw. do inf. zawiera 60 mg lub 100 mg hydroksyetyloskrobi.
Abacavir + Lamivudine Mylan | 38556912	1 tabl. powl. zawiera abakawiru chlorowodorek równoważny 600 mg abakawiru i 300 mg lamiwudyny.
Abacavir + Lamivudine Sandoz | 33166614	1 tabl. powl. zawiera 600 mg abakawiru w postaci chlorowodorku abakawiru i 300 mg lamiwudyny.
Abacavir/Lamivudine Teva; Retrikil | 33598826; 36985992	1 tabl. powl. zawiera 600 mg abakawiru i 300 mg lamiwudyny.
Abilify<sup>®</sup>; Aripilek; Aripiprazole Zentiva | 3207495; 27591074; 27775012	1 tabl. zawiera 10 mg, 15 mg lub 30 mg arypiprazolu.
Absenor<sup>®</sup> | 3933273	1 tabl. zawiera 300 mg lub 500 mg walproinianu sodu.
Acatar<sup>®</sup> Zatoki | 6740493	1 tabl. powl. zawiera 200 mg ibuprofenu i 30 mg chlorowodorku pseudoefedryny.
Accofil | 25017805	1 ml roztw. zawiera 60 mln j. lub 96 mln j. (co odpowiada 600 µg lub 960 µg) filgrastymu. 1 amp.-strzyk. zawiera 30 mln j. lub 48 mln j. (co odpowiada 300 µg lub 480 µg filgrastymu w 0,5 ml roztw. do wstrzykiwań lub inf.). Filgrastym jest rekombinowanym metionylowanym ludzkim czynnikiem wzrostu kolonii granulocytów wytwarzanym przez <i>Escherichia coli</i> (BL21) techniką rekombinacji DNA.
Accordeon | 26955781	1 tabl. o przedłużonym uwalnianiu zawiera 5 mg, 10 mg, 20 mg, 40 mg lub 80 mg oksykodonu chlorowodorku, co odpowiada 4,5 mg, 9,0 mg, 17,9 mg, 36 mg lub 72 mg oksykodonu.
Acenocumarol WZF | 17	1 tabl. zawiera 1 mg lub 4 mg acenokumarolu.
Acidum folicum Hasco; Acidum folicum Richter | 1463348; 25852551	1 tabl. zawiera 5 mg lub 15 mg kwasu foliowego.
Acitren; Neotigason | 8367628; 11784774	1 kaps. zawiera 10 mg lub 25 mg acytretyny.
Acix<sup>®</sup> | 2978962	1 fiolka zawiera 250 mg lub 500 mg acyklowiru.
Aclexa | 26118371	1 kaps. twarda zawiera 100 mg lub 200 mg celekoksybu.
Acnatac | 22989905	1 g żelu zawiera 10 mg klindamycyny i 0,25 mg tretynoiny.
Acodin 150 Junior | 3168186	5 ml syropu zawiera 7,5 mg dekstrometorfanu bromowodorku i 50 mg dekspantenolu.
Acodin Duo | 36	5 ml syropu zawiera 15 mg bromowodorku dekstrometorfanu oraz 50 mg dekspantenolu.
Actaven; Aknenormin 10 mg; -20 mg; Isoderm | 1099829; 11119694; 26279365	1 kaps. miękka zawiera 10 mg lub 20 mg izotretynoiny.
Actelsar HCT | 21691715	1 tabl. zawiera 80 mg telmisartanu i 12,5 mg lub 25 mg hydrochlorotiazydu.
Actelsar; Micardis<sup>®</sup>; Polsart; Telmabax; Telmisartan Apotex; Telmisartan EGIS; Telmisartan EGIS - (IR); Telmisartan Mylan; Telmisartan Sandoz; Telmisartanum 123ratio; Telmix; Telmizek; Tezeo; Tolura; Zanacodar | 2014; 10974800; 11080358; 11121050; 11609594; 13665547; 15540513; 17582524; 18669492; 19690974; 20177481; 20856271; 26286111; 27402985; 27403053	1 tabl. zawiera 40 mg lub 80 mg telmisartanu.
Actifed | 26201691	5 ml syropu zawiera: 1,25 mg triprolidyny chlorowodorku, 30 mg pseudoefedryny chlorowodorku oraz 10 mg dekstrometorfanu bromowodorku.
Actilyse<sup>®</sup> 10; -20; -50 | 39	1 fiolka zawiera 10 mg, 20 mg lub 50 mg alteplazy.
Actitrin | 4958535	5 ml syropu zawiera 1,25 mg triprolidyny chlorowodorku, 30 mg pseudoefedryny chlorowodorku i 10 mg dekstrometorfanu bromowodorku.
Activelle<sup>®</sup> | 40	1 tabl. powl. zawiera 1 mg estradiolu półwodnego oraz 0,5 mg noretysteronu octanu.
