aoch	aa	subst:pl:loc:f	lemma=a flex=ach palat=t con=a cat=noun
aoch	ao	subst:pl:loc:n:ncol	lemma=o flex=ach palat=t con=a cat=noun
boch	b	subst:pl:loc:m1	lemma=ε flex=ach palat=n con=b cat=noun
boch	b	subst:pl:loc:m2	lemma=ε flex=ach palat=n con=b cat=noun
boch	b	subst:pl:loc:m3	lemma=ε flex=ach palat=n con=b cat=noun
boch	ba	subst:pl:loc:f	lemma=a flex=ach palat=n con=b cat=noun
boch	ba	subst:pl:loc:m1	lemma=a flex=ach palat=n con=b cat=noun
boch	be	subst:pl:loc:m1	lemma=e flex=ach palat=n con=b cat=noun
boch	bo	subst:pl:loc:m1	lemma=o flex=ach palat=n con=b cat=noun
boch	bo	subst:pl:loc:n:ncol	lemma=o flex=ach palat=n con=b cat=noun
boch	bum	subst:pl:loc:n:ncol	lemma=um flex=ach palat=n con=b cat=noun
boch	by	subst:pl:loc:n:pt	lemma=y flex=ach palat=n con=b cat=noun
boch	eb	subst:pl:loc:m1	lemma=ε flex=ach palat=n con=b cat=noun
boch	eb	subst:pl:loc:m2	lemma=ε flex=ach palat=n con=b cat=noun
boch	eb	subst:pl:loc:m3	lemma=ε flex=ach palat=n con=b cat=noun
banioch	bać	ger:pl:loc:n:imperf.perf:aff	lemma=ać group=a cat=verb flex=ach flex2=ń pref=ε
bioch	b	subst:pl:loc:f	lemma=ε flex=ach palat=t con=b′ cat=noun
bioch	b	subst:pl:loc:m1	lemma=ε flex=ach palat=t con=b′ cat=noun
bioch	b	subst:pl:loc:m2	lemma=ε flex=ach palat=t con=b′ cat=noun
bioch	b	subst:pl:loc:m3	lemma=ε flex=ach palat=t con=b′ cat=noun
bioch	bia	subst:pl:loc:f	lemma=a flex=ach palat=t con=j cat=noun
bioch	bia	subst:pl:loc:m1	lemma=a flex=ach palat=t con=j cat=noun
bioch	bia	subst:pl:loc:n:pt	lemma=a flex=ach palat=t con=j cat=noun
bioch	bie	subst:pl:loc:n:ncol	lemma=e flex=ach palat=t con=j cat=noun
bioch	bie	subst:pl:loc:n:pt	lemma=e flex=ach palat=t con=j cat=noun
bioch	bium	subst:pl:loc:n:ncol	lemma=um flex=ach palat=t con=j cat=noun
bianioch	biać	ger:pl:loc:n:imperf.perf:aff	lemma=ać group=a cat=verb flex=ach flex2=ń pref=ε
bienioch	bieć	ger:pl:loc:n:imperf.perf:aff	lemma=palat-eć group=Je cat=verb flex=ach flex2=ń pref=ε
bienioch	bić	ger:pl:loc:n:imperf.perf:aff	lemma=palat-ć group=Je cat=verb flex=ach flex2=ń pref=ε
bnięcioch	bnąć	ger:pl:loc:n:imperf.perf:aff	lemma=nąć group=nię cat=verb flex=ach flex2=ć pref=ε
coch	c	subst:pl:loc:f	lemma=ε flex=ach palat=t con=c cat=noun
coch	c	subst:pl:loc:m1	lemma=ε flex=ach palat=t con=c cat=noun
coch	c	subst:pl:loc:m2	lemma=ε flex=ach palat=t con=c cat=noun
coch	c	subst:pl:loc:m3	lemma=ε flex=ach palat=t con=c cat=noun
coch	ca	subst:pl:loc:f	lemma=a flex=ach palat=t con=c cat=noun
coch	ca	subst:pl:loc:m1	lemma=a flex=ach palat=t con=c cat=noun
coch	ca	subst:pl:loc:m2	lemma=a flex=ach palat=t con=c cat=noun
coch	ca	subst:pl:loc:n:pt	lemma=a flex=ach palat=t con=c cat=noun
coch	ce	subst:pl:loc:m1	lemma=e flex=ach palat=t con=c cat=noun
coch	ce	subst:pl:loc:n:ncol	lemma=e flex=ach palat=t con=c cat=noun
coch	ce	subst:pl:loc:n:pt	lemma=e flex=ach palat=t con=c cat=noun
coch	co	subst:pl:loc:m1	lemma=o flex=ach palat=t con=c cat=noun
