aim	aić	fin:pl:pri:imperf.perf	lemma=palat-ć group=y cat=verb flex=my flex2=ε pref=ε
bajm	bać	impt:pl:pri:imperf.perf	lemma=ać group=aj cat=verb flex=my flex2=ε pref=ε
bam	bać	fin:pl:pri:imperf.perf	lemma=ać group=a cat=verb flex=my flex2=ε pref=ε
biajm	biać	impt:pl:pri:imperf.perf	lemma=ać group=aj cat=verb flex=my flex2=ε pref=ε
biam	biać	fin:pl:pri:imperf.perf	lemma=ać group=a cat=verb flex=my flex2=ε pref=ε
biejem	bieć	fin:pl:pri:imperf.perf	lemma=palat-eć group=eje cat=verb flex=my flex2=ε pref=ε
biejm	bieć	impt:pl:pri:imperf.perf	lemma=palat-eć group=ej cat=verb flex=my flex2=ε pref=ε
bijm	bić	impt:pl:pri:imperf.perf	lemma=palat-ć group=yj cat=verb flex=my flex2=ε pref=ε
bim	bić	fin:pl:pri:imperf.perf	lemma=palat-ć group=y cat=verb flex=my flex2=ε pref=ε
biujem	biować	fin:pl:pri:imperf.perf	lemma=ować group=uje cat=verb flex=my flex2=ε pref=ε
biujm	biować	impt:pl:pri:imperf.perf	lemma=ować group=uj cat=verb flex=my flex2=ε pref=ε
bm	bić	impt:pl:pri:imperf.perf	lemma=palat-ć group=ε cat=verb flex=my flex2=ε pref=ε
bniem	bnąć	fin:pl:pri:imperf.perf	lemma=nąć group=nie cat=verb flex=my flex2=ε pref=ε
bnijm	bnąć	impt:pl:pri:imperf.perf	lemma=nąć group=nij cat=verb flex=my flex2=ε pref=ε
bujem	bować	fin:pl:pri:imperf.perf	lemma=ować group=uje cat=verb flex=my flex2=ε pref=ε
bujem	bywać	fin:pl:pri:imperf.perf	lemma=ywać group=uje cat=verb flex=my flex2=ε pref=ε
bujm	bować	impt:pl:pri:imperf.perf	lemma=ować group=uj cat=verb flex=my flex2=ε pref=ε
bujm	bywać	impt:pl:pri:imperf.perf	lemma=ywać group=uj cat=verb flex=my flex2=ε pref=ε
cajm	cać	impt:pl:pri:imperf.perf	lemma=ać group=aj cat=verb flex=my flex2=ε pref=ε
cam	cać	fin:pl:pri:imperf.perf	lemma=ać group=a cat=verb flex=my flex2=ε pref=ε
chajm	chać	impt:pl:pri:imperf.perf	lemma=ać group=aj cat=verb flex=my flex2=ε pref=ε
cham	chać	fin:pl:pri:imperf.perf	lemma=ać group=a cat=verb flex=my flex2=ε pref=ε
chniem	chnąć	fin:pl:pri:imperf.perf	lemma=nąć group=nie cat=verb flex=my flex2=ε pref=ε
chnijm	chnąć	impt:pl:pri:imperf.perf	lemma=nąć group=nij cat=verb flex=my flex2=ε pref=ε
chujem	chiwać	fin:pl:pri:imperf.perf	lemma=ywać group=uje cat=verb flex=my flex2=ε pref=ε
chujem	chować	fin:pl:pri:imperf.perf	lemma=ować group=uje cat=verb flex=my flex2=ε pref=ε
chujm	chiwać	impt:pl:pri:imperf.perf	lemma=ywać group=uj cat=verb flex=my flex2=ε pref=ε
chujm	chować	impt:pl:pri:imperf.perf	lemma=ować group=uj cat=verb flex=my flex2=ε pref=ε
ciajm	ciać	impt:pl:pri:imperf.perf	lemma=ać group=aj cat=verb flex=my flex2=ε pref=ε
ciam	ciać	fin:pl:pri:imperf.perf	lemma=ać group=a cat=verb flex=my flex2=ε pref=ε
