ais	aić	fin:sg:sec:imperf.perf	lemma=palat-ć group=y cat=verb flex=sz flex2=ε pref=ε
aiwszy	aić	pant:imperf.perf	lemma=palat-ć group=y cat=verb flex=szy flex2=w pref=ε
bas	bać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
bawszy	bać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
bias	biać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
biawszy	biać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
biawszy	bieć	pant:imperf.perf	lemma=palat-eć group=a cat=verb flex=szy flex2=w pref=ε
biejes	bieć	fin:sg:sec:imperf.perf	lemma=palat-eć group=eje cat=verb flex=sz flex2=ε pref=ε
bis	bić	fin:sg:sec:imperf.perf	lemma=palat-ć group=y cat=verb flex=sz flex2=ε pref=ε
biujes	biować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
biwszy	bić	pant:imperf.perf	lemma=palat-ć group=y cat=verb flex=szy flex2=w pref=ε
bnies	bnąć	fin:sg:sec:imperf.perf	lemma=nąć group=nie cat=verb flex=sz flex2=ε pref=ε
bnąwszy	bnąć	pant:imperf.perf	lemma=nąć group=ną cat=verb flex=szy flex2=w pref=ε
bujes	bować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
bujes	bywać	fin:sg:sec:imperf.perf	lemma=ywać group=uje cat=verb flex=sz flex2=ε pref=ε
cas	cać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
cawszy	cać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
chas	chać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
chawszy	chać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
chnies	chnąć	fin:sg:sec:imperf.perf	lemma=nąć group=nie cat=verb flex=sz flex2=ε pref=ε
chnąwszy	chnąć	pant:imperf.perf	lemma=nąć group=ną cat=verb flex=szy flex2=w pref=ε
chujes	chiwać	fin:sg:sec:imperf.perf	lemma=ywać group=uje cat=verb flex=sz flex2=ε pref=ε
chujes	chować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
cias	ciać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
ciawszy	ciać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
ciawszy	cieć	pant:imperf.perf	lemma=palat-eć group=a cat=verb flex=szy flex2=w pref=ε
ciejes	cieć	fin:sg:sec:imperf.perf	lemma=palat-eć group=eje cat=verb flex=sz flex2=ε pref=ε
cis	cić	fin:sg:sec:imperf.perf	lemma=palat-ć group=y cat=verb flex=sz flex2=ε pref=ε
ciujes	ciować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
ciwszy	cić	pant:imperf.perf	lemma=palat-ć group=y cat=verb flex=szy flex2=w pref=ε
cnies	cnąć	fin:sg:sec:imperf.perf	lemma=nąć group=nie cat=verb flex=sz flex2=ε pref=ε
cnąwszy	cnąć	pant:imperf.perf	lemma=nąć group=ną cat=verb flex=szy flex2=w pref=ε
cujes	cować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
cujes	cywać	fin:sg:sec:imperf.perf	lemma=ywać group=uje cat=verb flex=sz flex2=ε pref=ε
czas	czać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
czawszy	czać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
czawszy	czeć	pant:imperf.perf	lemma=palat-eć group=a cat=verb flex=szy flex2=w pref=ε
czejes	czeć	fin:sg:sec:imperf.perf	lemma=palat-eć group=eje cat=verb flex=sz flex2=ε pref=ε
cznies	cznąć	fin:sg:sec:imperf.perf	lemma=nąć group=nie cat=verb flex=sz flex2=ε pref=ε
cznąwszy	cznąć	pant:imperf.perf	lemma=nąć group=ną cat=verb flex=szy flex2=w pref=ε
czujes	czować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
czys	czyć	fin:sg:sec:imperf.perf	lemma=palat-ć group=y cat=verb flex=sz flex2=ε pref=ε
czywszy	czyć	pant:imperf.perf	lemma=palat-ć group=y cat=verb flex=szy flex2=w pref=ε
das	dać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
dawszy	dać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
diujes	diować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
dnies	dnąć	fin:sg:sec:imperf.perf	lemma=nąć group=nie cat=verb flex=sz flex2=ε pref=ε
dnąwszy	dnąć	pant:imperf.perf	lemma=nąć group=ną cat=verb flex=szy flex2=w pref=ε
dujes	dować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
dujes	dywać	fin:sg:sec:imperf.perf	lemma=ywać group=uje cat=verb flex=sz flex2=ε pref=ε
dzas	dzać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
dzawszy	dzać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
dzias	dziać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
dziawszy	dziać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
dziawszy	dzieć	pant:imperf.perf	lemma=palat-eć group=a cat=verb flex=szy flex2=w pref=ε
dziejes	dzieć	fin:sg:sec:imperf.perf	lemma=palat-eć group=eje cat=verb flex=sz flex2=ε pref=ε
dzis	dzić	fin:sg:sec:imperf.perf	lemma=palat-ć group=y cat=verb flex=sz flex2=ε pref=ε
dziujes	dziować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
dziwszy	dzić	pant:imperf.perf	lemma=palat-ć group=y cat=verb flex=szy flex2=w pref=ε
dzujes	dzować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
dżas	dżać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
dżawszy	dżać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
dżujes	dżować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
dżys	dżyć	fin:sg:sec:imperf.perf	lemma=palat-ć group=y cat=verb flex=sz flex2=ε pref=ε
dżywszy	dżyć	pant:imperf.perf	lemma=palat-ć group=y cat=verb flex=szy flex2=w pref=ε
eis	eić	fin:sg:sec:imperf.perf	lemma=palat-ć group=y cat=verb flex=sz flex2=ε pref=ε
eiwszy	eić	pant:imperf.perf	lemma=palat-ć group=y cat=verb flex=szy flex2=w pref=ε
eujes	eować	fin:sg:sec:imperf.perf	lemma=ować group=uje cat=verb flex=sz flex2=ε pref=ε
fas	fać	fin:sg:sec:imperf.perf	lemma=ać group=a cat=verb flex=sz flex2=ε pref=ε
fawszy	fać	pant:imperf.perf	lemma=ać group=a cat=verb flex=szy flex2=w pref=ε
