aiemi	ai	subst:pl:inst:m1	lemma=y flex=ymi palat=t con=a cat=noun
bającem	bać	pact:sg:inst.loc:m1.m2.m3.n:imperf:aff|pact:pl:dat:m1.m2.m3.f.n:imperf:aff	lemma=ać group=aj cat=verb flex=ym flex2=ąc pref=ε
bającemi	bać	pact:pl:inst:m1.m2.m3.f.n:imperf:aff	lemma=ać group=aj cat=verb flex=ymi flex2=ąc pref=ε
banem	bać	ppas:sg:inst.loc:m1.m2.m3.n:imperf.perf:aff|ppas:pl:dat:m1.m2.m3.f.n:imperf.perf:aff	lemma=ać group=a cat=verb flex=ym flex2=n pref=ε
banemi	bać	ppas:pl:inst:m1.m2.m3.f.n:imperf.perf:aff	lemma=ać group=a cat=verb flex=ymi flex2=n pref=ε
biającem	biać	pact:sg:inst.loc:m1.m2.m3.n:imperf:aff|pact:pl:dat:m1.m2.m3.f.n:imperf:aff	lemma=ać group=aj cat=verb flex=ym flex2=ąc pref=ε
biającemi	biać	pact:pl:inst:m1.m2.m3.f.n:imperf:aff	lemma=ać group=aj cat=verb flex=ymi flex2=ąc pref=ε
bianem	biać	ppas:sg:inst.loc:m1.m2.m3.n:imperf.perf:aff|ppas:pl:dat:m1.m2.m3.f.n:imperf.perf:aff	lemma=ać group=a cat=verb flex=ym flex2=n pref=ε
bianem	bić	ppas:sg:inst.loc:m1.m2.m3.n:imperf.perf:aff|ppas:pl:dat:m1.m2.m3.f.n:imperf.perf:aff	lemma=palat-ć group=Ja cat=verb flex=ym flex2=n pref=ε
bianemi	biać	ppas:pl:inst:m1.m2.m3.f.n:imperf.perf:aff	lemma=ać group=a cat=verb flex=ymi flex2=n pref=ε
bianemi	bić	ppas:pl:inst:m1.m2.m3.f.n:imperf.perf:aff	lemma=palat-ć group=Ja cat=verb flex=ymi flex2=n pref=ε
biejącem	bieć	pact:sg:inst.loc:m1.m2.m3.n:imperf:aff|pact:pl:dat:m1.m2.m3.f.n:imperf:aff	lemma=palat-eć group=J cat=verb flex=ym flex2=ąc pref=ε
biejącemi	bieć	pact:pl:inst:m1.m2.m3.f.n:imperf:aff	lemma=palat-eć group=J cat=verb flex=ymi flex2=ąc pref=ε
biem	bi	adj:sg:inst.loc:m1.m2.m3.n:pos|adj:pl:dat:m1.m2.m3.f.n:pos	lemma=y flex=ym palat=t con=b′ cat=adj
biem	bi	subst:sg:inst.loc:m1|subst:pl:dat:m1	lemma=y flex=ym palat=t con=b′ cat=noun
biemi	bi	adj:pl:inst:m1.m2.m3.f.n:pos	lemma=y flex=ymi palat=t con=b′ cat=adj
biemi	bi	subst:pl:inst:m1	lemma=y flex=ymi palat=t con=b′ cat=noun
bionem	bić	ppas:sg:inst.loc:m1.m2.m3.n:imperf.perf:aff|ppas:pl:dat:m1.m2.m3.f.n:imperf.perf:aff	lemma=palat-ć group=Jo cat=verb flex=ym flex2=n pref=ε
bionemi	bić	ppas:pl:inst:m1.m2.m3.f.n:imperf.perf:aff	lemma=palat-ć group=Jo cat=verb flex=ymi flex2=n pref=ε
biującem	biować	pact:sg:inst.loc:m1.m2.m3.n:imperf:aff|pact:pl:dat:m1.m2.m3.f.n:imperf:aff	lemma=ować group=uj cat=verb flex=ym flex2=ąc pref=ε
biującemi	biować	pact:pl:inst:m1.m2.m3.f.n:imperf:aff	lemma=ować group=uj cat=verb flex=ymi flex2=ąc pref=ε
biącem	bieć	pact:sg:inst.loc:m1.m2.m3.n:imperf:aff|pact:pl:dat:m1.m2.m3.f.n:imperf:aff	lemma=palat-eć group=J cat=verb flex=ym flex2=ąc pref=ε
biącem	bić	pact:sg:inst.loc:m1.m2.m3.n:imperf:aff|pact:pl:dat:m1.m2.m3.f.n:imperf:aff	lemma=palat-ć group=J cat=verb flex=ym flex2=ąc pref=ε
