ao	aa	subst:sg:inst:f	lemma=a flex=ą palat=t con=a cat=noun
bajo	bać	fin:pl:ter:imperf.perf	lemma=ać group=aj cat=verb flex=ą flex2=ε pref=ε
bająco	bać	pact:sg:acc.inst:f:imperf:aff	lemma=ać group=aj cat=verb flex=ą flex2=ąc pref=ε
bano	bać	ppas:sg:acc.inst:f:imperf.perf:aff	lemma=ać group=a cat=verb flex=ą flex2=n pref=ε
biajo	biać	fin:pl:ter:imperf.perf	lemma=ać group=aj cat=verb flex=ą flex2=ε pref=ε
biająco	biać	pact:sg:acc.inst:f:imperf:aff	lemma=ać group=aj cat=verb flex=ą flex2=ąc pref=ε
biano	biać	ppas:sg:acc.inst:f:imperf.perf:aff	lemma=ać group=a cat=verb flex=ą flex2=n pref=ε
biano	bić	ppas:sg:acc.inst:f:imperf.perf:aff	lemma=palat-ć group=Ja cat=verb flex=ą flex2=n pref=ε
biejo	bieć	fin:pl:ter:imperf.perf	lemma=palat-eć group=J cat=verb flex=ą flex2=ε pref=ε
biejąco	bieć	pact:sg:acc.inst:f:imperf:aff	lemma=palat-eć group=J cat=verb flex=ą flex2=ąc pref=ε
biono	bić	ppas:sg:acc.inst:f:imperf.perf:aff	lemma=palat-ć group=Jo cat=verb flex=ą flex2=n pref=ε
biujo	biować	fin:pl:ter:imperf.perf	lemma=ować group=uj cat=verb flex=ą flex2=ε pref=ε
biująco	biować	pact:sg:acc.inst:f:imperf:aff	lemma=ować group=uj cat=verb flex=ą flex2=ąc pref=ε
bio	b	subst:sg:inst:f	lemma=ε flex=ą palat=t con=b′ cat=noun
bio	bi	adj:sg:acc.inst:f:pos	lemma=y flex=ą palat=t con=b′ cat=adj
bio	bia	subst:sg:inst:f	lemma=a flex=ą palat=t con=j cat=noun
bio	bia	subst:sg:inst:m1	lemma=a flex=ą palat=t con=j cat=noun
bio	bieć	fin:pl:ter:imperf.perf	lemma=palat-eć group=J cat=verb flex=ą flex2=ε pref=ε
bio	bić	fin:pl:ter:imperf.perf	lemma=palat-ć group=J cat=verb flex=ą flex2=ε pref=ε
biąco	bieć	pact:sg:acc.inst:f:imperf:aff	lemma=palat-eć group=J cat=verb flex=ą flex2=ąc pref=ε
biąco	bić	pact:sg:acc.inst:f:imperf:aff	lemma=palat-ć group=J cat=verb flex=ą flex2=ąc pref=ε
biąt	bię	subst:pl:gen:n:col	lemma=ę flex=ąt palat=ę con=b′ cat=noun
bnięto	bnąć	ppas:sg:acc.inst:f:imperf.perf:aff	lemma=nąć group=nię cat=verb flex=ą flex2=t pref=ε
bno	bnąć	fin:pl:ter:imperf.perf	lemma=nąć group=n cat=verb flex=ą flex2=ε pref=ε
bnąco	bnąć	pact:sg:acc.inst:f:imperf:aff	lemma=nąć group=n cat=verb flex=ą flex2=ąc pref=ε
bszo	bki	adj:sg:acc.inst:f:com	lemma=y grad=sz con=k flex=ą cat=adj:grad pref=ε
bszo	boki	adj:sg:acc.inst:f:com	lemma=y grad=sz con=k flex=ą cat=adj:grad pref=ε
bszo	by	adj:sg:acc.inst:f:com	lemma=y grad=sz con=b flex=ą cat=adj:grad pref=ε
bujo	bować	fin:pl:ter:imperf.perf	lemma=ować group=uj cat=verb flex=ą flex2=ε pref=ε
bujo	bywać	fin:pl:ter:imperf.perf	lemma=ywać group=uj cat=verb flex=ą flex2=ε pref=ε
bująco	bować	pact:sg:acc.inst:f:imperf:aff	lemma=ować group=uj cat=verb flex=ą flex2=ąc pref=ε
bująco	bywać	pact:sg:acc.inst:f:imperf:aff	lemma=ywać group=uj cat=verb flex=ą flex2=ąc pref=ε
bo	ba	subst:sg:acc:f	lemma=a flex=ą palat=n con=b cat=noun
bo	ba	subst:sg:inst:f	lemma=a flex=ą palat=n con=b cat=noun
bo	ba	subst:sg:inst:m1	lemma=a flex=ą palat=n con=b cat=noun
bo	by	adj:sg:acc.inst:f:pos	lemma=y flex=ą palat=n con=b cat=adj
cajo	cać	fin:pl:ter:imperf.perf	lemma=ać group=aj cat=verb flex=ą flex2=ε pref=ε
cająco	cać	pact:sg:acc.inst:f:imperf:aff	lemma=ać group=aj cat=verb flex=ą flex2=ąc pref=ε
cano	cać	ppas:sg:acc.inst:f:imperf.perf:aff	lemma=ać group=a cat=verb flex=ą flex2=n pref=ε
chajo	chać	fin:pl:ter:imperf.perf	lemma=ać group=aj cat=verb flex=ą flex2=ε pref=ε
chająco	chać	pact:sg:acc.inst:f:imperf:aff	lemma=ać group=aj cat=verb flex=ą flex2=ąc pref=ε
chano	chać	ppas:sg:acc.inst:f:imperf.perf:aff	lemma=ać group=a cat=verb flex=ą flex2=n pref=ε
chio	chia	subst:sg:inst:f	lemma=a flex=ą palat=t con=j cat=noun
