ae	aa	subst:sg:acc:f	lemma=a flex=ę palat=t con=a cat=noun
bieje	bieć	fin:sg:pri:imperf.perf	lemma=palat-eć group=J cat=verb flex=ę flex2=ε pref=ε
biuje	biować	fin:sg:pri:imperf.perf	lemma=ować group=uj cat=verb flex=ę flex2=ε pref=ε
bie	bia	subst:sg:acc:f	lemma=a flex=ę palat=t con=j cat=noun
bie	bia	subst:sg:acc:m1	lemma=a flex=ę palat=t con=j cat=noun
bie	bieć	fin:sg:pri:imperf.perf	lemma=palat-eć group=J cat=verb flex=ę flex2=ε pref=ε
bie	bić	fin:sg:pri:imperf.perf	lemma=palat-ć group=J cat=verb flex=ę flex2=ε pref=ε
bie	bie	subst:sg:nom.acc.voc:n:col	lemma=ę flex=ę palat=ę con=j cat=noun
bięcia	bie	subst:sg:gen:n:col	lemma=ę flex=ęcia palat=ę con=b′ cat=noun
bięciem	bie	subst:sg:inst:n:col	lemma=ę flex=ęciem palat=ę con=b′ cat=noun
bięciu	bie	subst:sg:dat.loc:n:col	lemma=ę flex=ęciu palat=ę con=b′ cat=noun
bięta	bie	subst:pl:nom.acc.voc:n:col	lemma=ę flex=ęta palat=ę con=b′ cat=noun
biętach	bie	subst:pl:loc:n:col	lemma=ę flex=ętach palat=ę con=b′ cat=noun
biętami	bie	subst:pl:inst:n:col	lemma=ę flex=ętam′i palat=ę con=b′ cat=noun
biętom	bie	subst:pl:dat:n:col	lemma=ę flex=ętom palat=ę con=b′ cat=noun
bne	bnąć	fin:sg:pri:imperf.perf	lemma=nąć group=n cat=verb flex=ę flex2=ε pref=ε
buje	bować	fin:sg:pri:imperf.perf	lemma=ować group=uj cat=verb flex=ę flex2=ε pref=ε
buje	bywać	fin:sg:pri:imperf.perf	lemma=ywać group=uj cat=verb flex=ę flex2=ε pref=ε
be	ba	subst:sg:acc:f	lemma=a flex=ę palat=n con=b cat=noun
be	ba	subst:sg:acc:m1	lemma=a flex=ę palat=n con=b cat=noun
chie	chia	subst:sg:acc:f	lemma=a flex=ę palat=t con=j cat=noun
chne	chnąć	fin:sg:pri:imperf.perf	lemma=nąć group=n cat=verb flex=ę flex2=ε pref=ε
chuje	chiwać	fin:sg:pri:imperf.perf	lemma=ywać group=uj cat=verb flex=ę flex2=ε pref=ε
chuje	chować	fin:sg:pri:imperf.perf	lemma=ować group=uj cat=verb flex=ę flex2=ε pref=ε
che	cha	subst:sg:acc:f	lemma=a flex=ę palat=n con=x cat=noun
che	cha	subst:sg:acc:m1	lemma=a flex=ę palat=n con=x cat=noun
che	cha	subst:sg:acc:m2	lemma=a flex=ę palat=n con=x cat=noun
che	cho	subst:sg:acc:m1	lemma=o flex=ę palat=n con=x cat=noun
cieje	cieć	fin:sg:pri:imperf.perf	lemma=palat-eć group=J cat=verb flex=ę flex2=ε pref=ε
ciuje	ciować	fin:sg:pri:imperf.perf	lemma=ować group=uj cat=verb flex=ę flex2=ε pref=ε
cie	cia	subst:sg:acc:f	lemma=a flex=ę palat=t con=t′ cat=noun
cie	cia	subst:sg:acc:m1	lemma=a flex=ę palat=t con=t′ cat=noun
cie	cie	subst:sg:nom.acc.voc:n:col	lemma=ę flex=ę palat=ę con=t′ cat=noun
cięcia	cie	subst:sg:gen:n:col	lemma=ę flex=ęcia palat=ę con=t′ cat=noun
cięciem	cie	subst:sg:inst:n:col	lemma=ę flex=ęciem palat=ę con=t′ cat=noun
cięciu	cie	subst:sg:dat.loc:n:col	lemma=ę flex=ęciu palat=ę con=t′ cat=noun
cięta	cie	subst:pl:nom.acc.voc:n:col	lemma=ę flex=ęta palat=ę con=t′ cat=noun
ciętach	cie	subst:pl:loc:n:col	lemma=ę flex=ętach palat=ę con=t′ cat=noun
ciętami	cie	subst:pl:inst:n:col	lemma=ę flex=ętam′i palat=ę con=t′ cat=noun
ciętom	cie	subst:pl:dat:n:col	lemma=ę flex=ętom palat=ę con=t′ cat=noun
cne	cnąć	fin:sg:pri:imperf.perf	lemma=nąć group=n cat=verb flex=ę flex2=ε pref=ε
cuje	cować	fin:sg:pri:imperf.perf	lemma=ować group=uj cat=verb flex=ę flex2=ε pref=ε
cuje	cywać	fin:sg:pri:imperf.perf	lemma=ywać group=uj cat=verb flex=ę flex2=ε pref=ε
czeje	czeć	fin:sg:pri:imperf.perf	lemma=palat-eć group=J cat=verb flex=ę flex2=ε pref=ε
czne	cznąć	fin:sg:pri:imperf.perf	lemma=nąć group=n cat=verb flex=ę flex2=ε pref=ε
czuje	czować	fin:sg:pri:imperf.perf	lemma=ować group=uj cat=verb flex=ę flex2=ε pref=ε
cze	cić	fin:sg:pri:imperf.perf	lemma=palat-ć group=J cat=verb flex=ę flex2=ε pref=ε
cze	cza	subst:sg:acc:f	lemma=a flex=ę palat=t con=č cat=noun
cze	cza	subst:sg:acc:m1	lemma=a flex=ę palat=t con=č cat=noun
cze	czeć	fin:sg:pri:imperf.perf	lemma=palat-eć group=J cat=verb flex=ę flex2=ε pref=ε
cze	czyć	fin:sg:pri:imperf.perf	lemma=palat-ć group=J cat=verb flex=ę flex2=ε pref=ε
cze	cze	subst:sg:nom.acc.voc:n:col	lemma=ę flex=ę palat=ę con=č cat=noun
częcia	cze	subst:sg:gen:n:col	lemma=ę flex=ęcia palat=ę con=č cat=noun
częciem	cze	subst:sg:inst:n:col	lemma=ę flex=ęciem palat=ę con=č cat=noun
częciu	cze	subst:sg:dat.loc:n:col	lemma=ę flex=ęciu palat=ę con=č cat=noun
częta	cze	subst:pl:nom.acc.voc:n:col	lemma=ę flex=ęta palat=ę con=č cat=noun
czętach	cze	subst:pl:loc:n:col	lemma=ę flex=ętach palat=ę con=č cat=noun
czętami	cze	subst:pl:inst:n:col	lemma=ę flex=ętam′i palat=ę con=č cat=noun
czętom	cze	subst:pl:dat:n:col	lemma=ę flex=ętom palat=ę con=č cat=noun
ce	ca	subst:sg:acc:f	lemma=a flex=ę palat=t con=c cat=noun
ce	ca	subst:sg:acc:m1	lemma=a flex=ę palat=t con=c cat=noun
ce	ca	subst:sg:acc:m2	lemma=a flex=ę palat=t con=c cat=noun
ce	cieć	fin:sg:pri:imperf.perf	lemma=palat-eć group=J cat=verb flex=ę flex2=ε pref=ε
ce	cić	fin:sg:pri:imperf.perf	lemma=palat-ć group=J cat=verb flex=ę flex2=ε pref=ε
diuje	diować	fin:sg:pri:imperf.perf	lemma=ować group=uj cat=verb flex=ę flex2=ε pref=ε
die	dia	subst:sg:acc:f	lemma=a flex=ę palat=t con=j cat=noun
dne	dnąć	fin:sg:pri:imperf.perf	lemma=nąć group=n cat=verb flex=ę flex2=ε pref=ε
duje	dować	fin:sg:pri:imperf.perf	lemma=ować group=uj cat=verb flex=ę flex2=ε pref=ε
duje	dywać	fin:sg:pri:imperf.perf	lemma=ywać group=uj cat=verb flex=ę flex2=ε pref=ε
dzieje	dzieć	fin:sg:pri:imperf.perf	lemma=palat-eć group=J cat=verb flex=ę flex2=ε pref=ε
dziuje	dziować	fin:sg:pri:imperf.perf	lemma=ować group=uj cat=verb flex=ę flex2=ε pref=ε
dzie	dzia	subst:sg:acc:f	lemma=a flex=ę palat=t con=d′ cat=noun
dzie	dzia	subst:sg:acc:m1	lemma=a flex=ę palat=t con=d′ cat=noun
dzie	dzie	subst:sg:nom.acc.voc:n:col	lemma=ę flex=ę palat=ę con=d′ cat=noun
dzięcia	dzie	subst:sg:gen:n:col	lemma=ę flex=ęcia palat=ę con=d′ cat=noun
dzięciem	dzie	subst:sg:inst:n:col	lemma=ę flex=ęciem palat=ę con=d′ cat=noun
