żyrafięciem	żyrafię	subst:sg:inst:n:ncol
żyrafięciu	żyrafię	subst:sg:dat:n:ncol
żyrafiąt	żyrafię	subst:pl:gen:n:ncol
żyrafięcia	żyrafię	subst:sg:gen:n:ncol
żyrafiętom	żyrafię	subst:pl:dat:n:ncol
żyrafięta	żyrafię	subst:pl:voc:n:ncol
żyrafiętach	żyrafię	subst:pl:loc:n:ncol
żyrafięta	żyrafię	subst:pl:nom:n:ncol
żyrafięciu	żyrafię	subst:sg:loc:n:ncol
żyrafięta	żyrafię	subst:pl:acc:n:ncol
żyrafiętami	żyrafię	subst:pl:inst:n:ncol
śpiewających	śpiewające	subst:pl:gen:n:pt
śmieci	śmieć	subst:pl:nom:m3
śmieci	śmieć	subst:pl:voc:m3
śmieci	śmieć	subst:pl:acc:m3
Świerż	Świerże	subst:pl:gen:n:pt
Świerzych	Świerza	subst:pl:gen:f
Świerzej	Świerza	subst:sg:loc:f
Świerzych	Świerza	subst:pl:loc:f
Świerzej	Świerza	subst:sg:dat:f
Świerzym	Świerza	subst:pl:dat:f
Świerzej	Świerza	subst:sg:gen:f
Świerzymi	Świerza	subst:pl:inst:f
Świerzą	Świerza	subst:sg:acc:f
Śreniawitów	Śreniawici	subst:pl:gen:m1:pt
Śreniawitach	Śreniawici	subst:pl:loc:m1:pt
Śreniawici	Śreniawici	subst:pl:nom:m1:pt
Śreniawici	Śreniawici	subst:pl:voc:m1:pt
Śreniawitami	Śreniawici	subst:pl:inst:m1:pt
Śreniawitom	Śreniawici	subst:pl:dat:m1:pt
Śreniawitów	Śreniawici	subst:pl:acc:m1:pt
Ślężanie	Ślężanie	subst:pl:nom:m1:pt
Ślężanach	Ślężanie	subst:pl:loc:m1:pt
Ślężanie	Ślężanie	subst:pl:voc:m1:pt
Ślężanami	Ślężanie	subst:pl:inst:m1:pt
Ślężan	Ślężanie	subst:pl:acc:m1:pt
Ślężan	Ślężanie	subst:pl:gen:m1:pt
Ślężanom	Ślężanie	subst:pl:dat:m1:pt
Łysych	Łyse	subst:pl:gen:n:ncol
Łysych	Łyse	subst:pl:loc:n:ncol
Łysemu	Łyse	subst:sg:dat:n:ncol
Łysem	Łyse	subst:sg:loc:n:ncol
Łysego	Łyse	subst:sg:gen:n:ncol
Łysymi	Łyse	subst:pl:inst:n:ncol
Łysym	Łyse	subst:pl:dat:n:ncol
Łysem	Łyse	subst:sg:inst:n:ncol
złu	zło	subst:sg:loc:n:ncol
zoviraxach	zovirax	subst:pl:loc:m3
zoviraxy	zovirax	subst:pl:nom:m3
zoviraxy	zovirax	subst:pl:voc:m3
zoviraxów	zovirax	subst:pl:gen:m3
zoviraxu	zovirax	subst:sg:gen:m3
zoviraxie	zovirax	subst:sg:loc:m3
zoviraxie	zovirax	subst:sg:voc:m3
zoviraxom	zovirax	subst:pl:dat:m3
zoviraxem	zovirax	subst:sg:inst:m3
zoviraxami	zovirax	subst:pl:inst:m3
zoviraxowi	zovirax	subst:sg:dat:m3
zoviraxy	zovirax	subst:pl:acc:m3
wygłupy	wygłupy	subst:pl:nom:m1:pt
wygłupów	wygłupy	subst:pl:gen:m1:pt
wygłupach	wygłupy	subst:pl:loc:m1:pt
wygłupami	wygłupy	subst:pl:inst:m1:pt
wygłupy	wygłupy	subst:pl:voc:m1:pt
wygłupom	wygłupy	subst:pl:dat:m1:pt
wujkowie	wujkowie	subst:pl:nom:m1:pt
wujkowie	wujkowie	subst:pl:voc:m1:pt
wujków	wujkowie	subst:pl:acc:m1:pt
wujkom	wujkowie	subst:pl:dat:m1:pt
wujkach	wujkowie	subst:pl:loc:m1:pt
wujków	wujkowie	subst:pl:gen:m1:pt
wujkami	wujkowie	subst:pl:inst:m1:pt
wanie	wania	subst:pl:voc:m1
wanie	wania	subst:pl:nom:m1
wajśi	wajśja	subst:sg:dat:m1
wajśi	wajśja	subst:sg:gen:m1
wajśi	wajśja	subst:sg:loc:m1
vaquerzy	vaquero	subst:pl:voc:m1
vaquerzy	vaquero	subst:pl:nom:m1
uropathie	uropathia	subst:pl:nom:f
uropathie	uropathia	subst:pl:voc:f
uropathię	uropathia	subst:sg:acc:f
uropathiami	uropathia	subst:pl:inst:f
uropathio	uropathia	subst:sg:voc:f
uropathiom	uropathia	subst:pl:dat:f
uropathiach	uropathia	subst:pl:loc:f
uropathią	uropathia	subst:sg:inst:f
uropathii	uropathia	subst:sg:dat:f
uropathii	uropathia	subst:pl:gen:f
uropathie	uropathia	subst:pl:acc:f
uropathii	uropathia	subst:sg:gen:f
uropathii	uropathia	subst:sg:loc:f
urochesii	urochesia	subst:sg:dat:f
urochesii	urochesia	subst:sg:gen:f
urochesii	urochesia	subst:sg:loc:f
urochesii	urochesia	subst:pl:gen:f
uniwersaliami	uniwersale	subst:pl:inst:n:ncol
uniwersaliom	uniwersale	subst:pl:dat:n:ncol
uniwersaliów	uniwersale	subst:pl:gen:n:ncol
uniwersalia	uniwersale	subst:pl:nom:n:ncol
uniwersalia	uniwersale	subst:pl:acc:n:ncol
uniwersalia	uniwersale	subst:pl:voc:n:ncol
uniwersaliach	uniwersale	subst:pl:loc:n:ncol
unitarianach	unitarianie	subst:pl:loc:m1:pt
unitarianami	unitarianie	subst:pl:inst:m1:pt
unitarian	unitarianie	subst:pl:acc:m1:pt
unitarian	unitarianie	subst:pl:gen:m1:pt
unitarianom	unitarianie	subst:pl:dat:m1:pt
unitarianie	unitarianie	subst:pl:nom:m1:pt
unitarianie	unitarianie	subst:pl:voc:m1:pt
unisexowi	unisex	subst:sg:dat:m3
unisexy	unisex	subst:pl:acc:m3
unisexów	unisex	subst:pl:gen:m3
unisexu	unisex	subst:sg:gen:m3
unisexom	unisex	subst:pl:dat:m3
unisexy	unisex	subst:pl:nom:m3
unisexie	unisex	subst:sg:voc:m3
unisexach	unisex	subst:pl:loc:m3
unisexami	unisex	subst:pl:inst:m3
unisexem	unisex	subst:sg:inst:m3
unisexy	unisex	subst:pl:voc:m3
unisexie	unisex	subst:sg:loc:m3
umęczon	umęczony	subst:sg:nom:m1
ultrasów	ultrasi	subst:pl:gen:m1:pt
ultrasom	ultrasi	subst:pl:dat:m1:pt
ultrasów	ultrasi	subst:pl:acc:m1:pt
ultrasami	ultrasi	subst:pl:inst:m1:pt
ultrasach	ultrasi	subst:pl:loc:m1:pt
ultrasi	ultrasi	subst:pl:nom:m1:pt
ultrasi	ultrasi	subst:pl:voc:m1:pt
ukrzyżowan	ukrzyżowany	subst:sg:nom:m1
uszy	ucho	subst:pl:acc:n:col
uchem	ucho	subst:sg:inst:n:col
uszy	ucho	subst:pl:voc:n:col
ucho	ucho	subst:sg:nom:n:col
uszu	ucho	subst:pl:gen:n:col
uszów	ucho	subst:pl:gen:n:col
uszyma	ucho	subst:pl:inst:n:col
uszami	ucho	subst:pl:inst:n:col
uszach	ucho	subst:pl:loc:n:col
uszy	ucho	subst:pl:nom:n:col
ucha	ucho	subst:sg:gen:n:col
uchu	ucho	subst:sg:loc:n:col
ucho	ucho	subst:sg:acc:n:col
uszom	ucho	subst:pl:dat:n:col
uchu	ucho	subst:sg:dat:n:col
ucho	ucho	subst:sg:voc:n:col
tysięcy	tysiąc	subst:pl:gen:m3
tysięcy	tysiąc	subst:pl:gen:m2
tysięcy	tysiące	subst:pl:gen:n:pt
tygodniach	tydzień	subst:pl:loc:m3
tygodniu	tydzień	subst:sg:voc:m3
tygodnie	tydzień	subst:pl:acc:m3
tygodnie	tydzień	subst:pl:nom:m3
tygodniami	tydzień	subst:pl:inst:m3
tygodnia	tydzień	subst:sg:gen:m3
tygodnie	tydzień	subst:pl:voc:m3
tygodniowi	tydzień	subst:sg:dat:m3
tygodniu	tydzień	subst:sg:loc:m3
tygodniem	tydzień	subst:sg:inst:m3
tygodni	tydzień	subst:pl:gen:m3
tygodniom	tydzień	subst:pl:dat:m3
tutejsi	tutejszy	subst:pl:voc:m1
tutejsi	tutejszy	subst:pl:nom:m1
trójzioła	trójziele	subst:pl:voc:n:ncol
trójziołach	trójziele	subst:pl:loc:n:ncol
trójziołami	trójziele	subst:pl:inst:n:ncol
trójziołom	trójziele	subst:pl:dat:n:ncol
trójzioła	trójziele	subst:pl:acc:n:ncol
trójziół	trójziele	subst:pl:gen:n:ncol
trójzioła	trójziele	subst:pl:nom:n:ncol
troglobiontie	troglobiont	subst:sg:loc:m2
troglobiontie	troglobiont	subst:sg:voc:m2
tristiów	tristia	subst:pl:gen:n:pt
texami	tex	subst:pl:inst:m3
texie	tex	subst:sg:loc:m3
texach	tex	subst:pl:loc:m3
texie	tex	subst:sg:voc:m3
texy	tex	subst:pl:voc:m3
texy	tex	subst:pl:acc:m3
texów	tex	subst:pl:gen:m3
texom	tex	subst:pl:dat:m3
texem	tex	subst:sg:inst:m3
texowi	tex	subst:sg:dat:m3
texu	tex	subst:sg:gen:m3
texy	tex	subst:pl:nom:m3
tartaglie	tartaglia	subst:pl:voc:m1
tartaglie	tartaglia	subst:pl:nom:m1
tamtego	tamto	subst:sg:gen:n:ncol
tamtemu	tamto	subst:sg:dat:n:ncol
tamtym	tamto	subst:sg:loc:n:ncol
tamtym	tamto	subst:sg:inst:n:ncol
tampaxy	tampax	subst:pl:voc:m3
tampaxu	tampax	subst:sg:gen:m3
tampaxy	tampax	subst:pl:acc:m3
tampaxem	tampax	subst:sg:inst:m3
tampaxowi	tampax	subst:sg:dat:m3
tampaxy	tampax	subst:pl:nom:m3
tampaxów	tampax	subst:pl:gen:m3
tampaxom	tampax	subst:pl:dat:m3
tampaxie	tampax	subst:sg:voc:m3
tampaxach	tampax	subst:pl:loc:m3
tampaxie	tampax	subst:sg:loc:m3
tampaxami	tampax	subst:pl:inst:m3
tallboya	tallboy	subst:sg:gen:m3
tabulatie	tabulat	subst:sg:voc:m2
tabulatie	tabulat	subst:sg:loc:m2
słów	słowa	subst:pl:gen:n:pt
szufel	szufle	subst:pl:gen:n:pt
szpicbródek	szpicbródka	subst:pl:gen:m2
synu	syn	subst:sg:voc:m1
sukien	suknia	subst:pl:gen:f
sukinsynu	sukinsyn	subst:sg:voc:m1
studzien	studnia	subst:pl:gen:f
staruszków	staruszkowie	subst:pl:gen:m1:pt
staruszkowie	staruszkowie	subst:pl:voc:m1:pt
staruszków	staruszkowie	subst:pl:acc:m1:pt
staruszkami	staruszkowie	subst:pl:inst:m1:pt
