żęły	żąć:Vi~nę	praet:pl:m2.m3.f.n:imperf.perf
żęło	żąć:Vi~nę	praet:sg:n:imperf.perf
żęła	żąć:Vi~nę	praet:sg:f:imperf.perf
żęć	żąć:Vi~nę	ger:pl:gen:n:imperf.perf:aff
żętą	żąć:Vi~nę	ppas:sg:acc.inst:f:imperf.perf:aff
żętymi	żąć:Vi~nę	ppas:pl:inst:m1.m2.m3.f.n:imperf.perf:aff
żętym	żąć:Vi~nę	ppas:sg:inst.loc:m1.m2.m3.n:imperf.perf:aff|ppas:pl:dat:m1.m2.m3.f.n:imperf.perf:aff
żętych	żąć:Vi~nę	ppas:pl:gen.loc:m1.m2.m3.f.n:imperf.perf:aff|ppas:pl:acc:m1:imperf.perf:aff
żęty	żąć:Vi~nę	ppas:sg:nom.voc:m1.m2.m3:imperf.perf:aff|ppas:sg:acc:m3:imperf.perf:aff
żęto	żąć:Vi~nę	imps:imperf.perf
żętemu	żąć:Vi~nę	ppas:sg:dat:m1.m2.m3.n:imperf.perf:aff
żętej	żąć:Vi~nę	ppas:sg:gen.dat.loc:f:imperf.perf:aff
żętego	żąć:Vi~nę	ppas:sg:gen:m1.m2.m3.n:imperf.perf:aff|ppas:sg:acc:m1.m2:imperf.perf:aff
żęte	żąć:Vi~nę	ppas:sg:nom.acc.voc:n:imperf.perf:aff|ppas:pl:nom.acc.voc:m2.m3.f.n:imperf.perf:aff
żęta	żąć:Vi~nę	ppas:sg:nom.voc:f:imperf.perf:aff
żęli	żąć:Vi~nę	praet:pl:m1:imperf.perf
żęciu	żąć:Vi~nę	ger:sg:dat.loc:n:imperf.perf:aff
żęciom	żąć:Vi~nę	ger:pl:dat:n:imperf.perf:aff
żęciem	żąć:Vi~nę	ger:sg:inst:n:imperf.perf:aff
żęcie	żąć:Vi~nę	ger:sg:nom.acc:n:imperf.perf:aff
żęciami	żąć:Vi~nę	ger:pl:inst:n:imperf.perf:aff
żęciach	żąć:Vi~nę	ger:pl:loc:n:imperf.perf:aff
żęcia	żąć:Vi~nę	ger:sg:gen:n:imperf.perf:aff|ger:pl:nom.acc:n:imperf.perf:aff
żęci	żąć:Vi~nę	ppas:pl:nom.voc:m1:imperf.perf:aff
żął	żąć:Vi~nę	praet:sg:m1.m2.m3:imperf.perf
żąć	żąć:Vi~nę	inf:imperf.perf
żnę	żąć:Vi~nę	fin:sg:pri:imperf.perf
żnącą	żąć:Vi~nę	pact:sg:acc.inst:f:imperf:aff
żnącymi	żąć:Vi~nę	pact:pl:inst:m1.m2.m3.f.n:imperf:aff
żnącym	żąć:Vi~nę	pact:sg:inst.loc:m1.m2.m3.n:imperf:aff|pact:pl:dat:m1.m2.m3.f.n:imperf:aff
żnących	żąć:Vi~nę	pact:pl:gen.loc:m1.m2.m3.f.n:imperf:aff|pact:pl:acc:m1:imperf:aff
