się	się	qub
siebie	siebie	siebie:acc.gen
sobie	siebie	siebie:dat.loc
sobą	siebie	siebie:inst
to	to	pred
yay	yay	interj
świetnie	świetnie	interj
doskonale	doskonale	interj
idealnie	idealnie	interj
zdecydowanie	zdecydowanie	interj
ok	ok	interj
super	super	interj
dobrze	dobrze	interj
dzięki	dzięki	interj
y	+A	subst:sg:gen:f
i	+A	subst:sg:gen.dat.loc:f
ie	+A	subst:sg:dat.loc:f
cie	+TA	subst:sg:dat.loc:f
ę	+A	subst:sg:acc:f
ą	+A	subst:sg:inst:f
o	+A	subst:sg:voc:f
e	+A	subst:pl:nom.acc.voc:f
y	+A	subst:pl:nom.acc.voc:f
i	+A	subst:pl:gen:f
om	+A	subst:pl:dat:f
ami	+A	subst:pl:inst:f
ach	+A	subst:pl:loc:f
ów	+s	subst:pl:gen:n:pt
om	+s	subst:pl:dat:n:pt
ami	+s	subst:pl:inst:n:pt
ach	+s	subst:pl:loc:n:pt
cie	+T	subst:sg:loc.voc:m3
ecie	+et	subst:sg:loc.voc:m3
etach	+et	subst:pl:loc:m3
etami	+et	subst:pl:inst:m3
etem	+et	subst:sg:inst:m3
etom	+et	subst:pl:dat:m3
etowi	+et	subst:sg:dat:m3
etów	+et	subst:pl:gen:m3
etu	+et	subst:sg:gen:m3
ety	+et	subst:pl:nom.acc.voc:m3
ocie	+ot	subst:sg:loc.voc:m3
otach	+ot	subst:pl:loc:m3
otami	+ot	subst:pl:inst:m3
otem	+ot	subst:sg:inst:m3
otom	+ot	subst:pl:dat:m3
otowi	+ot	subst:sg:dat:m3
otów	+ot	subst:pl:gen:m3
otu	+ot	subst:sg:gen:m3
oty	+ot	subst:pl:nom.acc.voc:m3
ach	+ε	subst:pl:loc:m1.m2.m3.n:ncol
ami	+ε	subst:pl:inst:m1.m2.m3.n:ncol
a	+ε	subst:sg:acc:m1.m2
a	+ε	subst:sg:gen:m1.m2.m3
ego	+ε	subst:sg:gen.acc:m1
emu	+ε	subst:sg:dat:m1
em	+ε	subst:sg:inst:m1.m2.m3.n:ncol
e	+ε	depr:pl:nom.voc:m2
e	+ε	subst:pl:nom.voc:m1.m2.m3
go	+ε	subst:sg:gen.acc:m1
iem	+ε	subst:sg:inst:m2.m3
ie	+ε	subst:sg:loc.voc:m1.m2.m3
i	+ε	subst:pl:acc.gen:m1.m2.m3
i	+ε	subst:pl:nom.voc:m2.m3
mu	+ε	subst:sg:dat:m1
m	+ε	subst:sg:inst.loc:m1
om	+ε	subst:pl:dat:m1.m2.m3.n:ncol
owie	+ε	subst:pl:nom.voc:m1
owi	+ε	subst:sg:dat:m1.m2.m3.n:ncol
ów	+ε	subst:pl:acc:m1
ów	+ε	subst:pl:gen:m1.m2.m3.n:ncol
u	+ε	subst:sg:acc:m2
u	+ε	subst:sg:gen:m2.m3.n:ncol
u	+ε	subst:sg:loc.voc:m1.m2.m3
y	+ε	depr:pl:nom.voc:m2
y	+ε	subst:pl:gen:m3
y	+ε	subst:pl:nom.acc.voc:m2.m3.n:ncol
ze	+ε	subst:sg:loc.voc:m2.m3.n:ncol
zie	+ε	subst:sg:loc.voc:m3
#istach	+ista	subst:pl:loc:m1
#ista	+ista	subst:sg:nom:m1
#istami	+ista	subst:pl:inst:m1
#istą	+ista	subst:sg:inst:m1
#istę	+ista	subst:sg:acc:m1
#isto	+ista	subst:sg:voc:m1
#istom	+ista	subst:pl:dat:m1
#istów	+ista	subst:pl:gen.acc:m1
#isty	+ista	depr:pl:nom.voc:m2
#isty	+ista	subst:sg:gen:m1
#iście	+ista	subst:sg:dat.loc:m1
#iści	+ista	subst:pl:nom.voc:m1
#owcach	+owiec	subst:pl:loc:m1
#owcami	+owiec	subst:pl:inst:m1
#owca	+owiec	subst:sg:gen.acc:m1
#owcem	+owiec	subst:sg:inst:m1
#owce	+owiec	depr:pl:nom.voc:m2
#owcom	+owiec	subst:pl:dat:m1
#owcowi	+owiec	subst:sg:dat:m1
#owców	+owiec	subst:pl:gen.acc:m1
#owcu	+owiec	subst:sg:loc.voc:m1
#owcy	+owiec	subst:pl:nom.voc:m1
#owcze	+owiec	subst:sg:voc:m1
#owiec	+owiec	subst:sg:nom:m1
#owo	+owo	adv:pos
#owa	+owy	adj:sg:nom.voc:f:pos
#ową	+owy	adj:sg:acc.inst:f:pos
#owego	+owy	adj:sg:gen:m1.m2.m3.n:pos
#owej	+owy	adj:sg:gen.dat.loc:f:pos
#owemu	+owy	adj:sg:dat:m1.m2.m3.n:pos
#owe	+owy	adj:pl:nom.acc.voc:m2.m3.f.n:pos
#owe	+owy	adj:sg:nom.acc.voc:n:pos
#owi	+owy	adj:pl:nom.voc:m1:pos
#owo	+owy	adja
#owych	+owy	adj:pl:acc:m1:pos
#owych	+owy	adj:pl:gen.loc:m1.m2.m3.f.n:pos
#owymi	+owy	adj:pl:inst:m1.m2.m3.f.n:pos
#owym	+owy	adj:pl:dat:m1.m2.m3.f.n:pos
#owym	+owy	adj:sg:inst.loc:m1.m2.m3.n:pos
#owy	+owy	adj:sg:acc:m3:pos
#owy	+owy	adj:sg:nom.voc:m1.m2.m3:pos
#owościach	+owość	subst:pl:loc:f
#owościami	+owość	subst:pl:inst:f
#owością	+owość	subst:sg:inst:f
#owościom	+owość	subst:pl:dat:f
#owości	+owość	subst:pl:nom.gen.acc.voc:f
#owości	+owość	subst:sg:gen.dat.loc.voc:f
#owość	+owość	subst:sg:nom.acc:f
#owsko	+owsko	adv:pos
#owscy	+owski	adj:pl:nom.voc:m1:pos
#owska	+owski	adj:sg:nom.voc:f:pos
#owską	+owski	adj:sg:acc.inst:f:pos
#owskich	+owski	adj:pl:acc:m1:pos
#owskich	+owski	adj:pl:gen.loc:m1.m2.m3.f.n:pos
#owskiego	+owski	adj:sg:acc:m1.m2:pos
#owskiego	+owski	adj:sg:gen:m1.m2.m3.n:pos
#owskiej	+owski	adj:sg:gen.dat.loc:f:pos
#owskiemu	+owski	adj:sg:dat:m1.m2.m3.n:pos
#owskie	+owski	adj:pl:nom.acc.voc:m2.m3.f.n:pos
#owskie	+owski	adj:sg:nom.acc.voc:n:pos
#owskimi	+owski	adj:pl:inst:m1.m2.m3.f.n:pos
#owskim	+owski	adj:pl:dat.inst.loc:m1.m2.m3.f.n:pos
#owski	+owski	adj:sg:nom.acc.voc:m1.m2.m3:pos
#owsko	+owski	adja
#owsku	+owski	adjp
#owskościach	+owskość	subst:pl:loc:f
#owskościami	+owskość	subst:pl:inst:f
#owskością	+owskość	subst:sg:inst:f
#owskościom	+owskość	subst:pl:dat:f
#owskości	+owskość	subst:pl:nom.gen.acc.voc:f
#owskości	+owskość	subst:sg:gen.dat.loc.voc:f
#owskość	+owskość	subst:sg:nom.acc:f
#wcach	+wiec	subst:pl:loc:m1
#wcami	+wiec	subst:pl:inst:m1
#wca	+wiec	subst:sg:gen.acc:m1
#wcem	+wiec	subst:sg:inst:m1
#wce	+wiec	depr:pl:nom.voc:m2
#wcom	+wiec	subst:pl:dat:m1
#wcowi	+wiec	subst:sg:dat:m1
#wców	+wiec	subst:pl:gen.acc:m1
#wcu	+wiec	subst:sg:loc.voc:m1
#wcy	+wiec	subst:pl:nom.voc:m1
#wiec	+wiec	subst:sg:nom:m1
#wscy	+wski	adj:pl:nom.voc:m1:pos
#wska	+wski	adj:sg:nom.voc:f:pos
#wską	+wski	adj:sg:acc.inst:f:pos
#wskich	+wski	adj:pl:acc:m1:pos
#wskich	+wski	adj:pl:gen.loc:m1.m2.m3.f.n:pos
#wskiego	+wski	adj:sg:acc:m1.m2:pos
#wskiego	+wski	adj:sg:gen:m1.m2.m3.n:pos
#wskiej	+wski	adj:sg:gen.dat.loc:f:pos
#wskiemu	+wski	adj:sg:dat:m1.m2.m3.n:pos
#wskie	+wski	adj:pl:nom.acc.voc:m2.m3.f.n:pos
#wskie	+wski	adj:sg:nom.acc.voc:n:pos
#wskimi	+wski	adj:pl:inst:m1.m2.m3.f.n:pos
#wskim	+wski	adj:pl:dat:m1.m2.m3.f.n:pos
#wskim	+wski	adj:sg:inst.loc:m1.m2.m3.n:pos
#wski	+wski	adj:sg:acc:m3:pos
#wski	+wski	adj:sg:nom.voc:m1.m2.m3:pos
#wsko	+wski	adja
#wsku	+wski	adjp
#wsko	+wsko	adv:pos
latek	+latek	subst:sg:nom:m1
latka	+latek	subst:sg:gen.acc:m1
latkowi	+latek	subst:sg:dat:m1
latkiem	+latek	subst:sg:inst:m1
latku	+latek	subst:sg:loc.voc:m1
latkowie	+latek	subst:pl:nom.voc:m1
latków	+latek	subst:pl:gen.acc:m1
latkom	+latek	subst:pl:dat:m1.f
latkami	+latek	subst:pl:inst:m1.f
latkach	+latek	subst:pl:loc:m1.f
latka	+latka	subst:sg:nom:f
latki	+latka	subst:sg:gen:f
latce	+latka	subst:sg:dat.loc:f
latkę	+latka	subst:sg:acc:f
latką	+latka	subst:sg:inst:f
