Abramów	gmina wiejska
Adamów	gmina wiejska
Adamówka	gmina wiejska
Aleksandrów	gmina wiejska
Aleksandrów Kujawski	gmina miejska
Aleksandrów Kujawski	gmina wiejska
Aleksandrów Łódzki	gmina miejsko-wiejska
Aleksandrów Łódzki	miasto
Aleksandrów Łódzki	obszar wiejski
Alwernia	gmina miejsko-wiejska
Alwernia	miasto
Alwernia	obszar wiejski
Andrespol	gmina wiejska
Andrychów	gmina miejsko-wiejska
Andrychów	miasto
Andrychów	obszar wiejski
Andrzejewo	gmina wiejska
Annopol	gmina miejsko-wiejska
Annopol	miasto
Annopol	obszar wiejski
Augustów	gmina miejska
Augustów	gmina wiejska
Babiak	gmina wiejska
Babice	gmina wiejska
Babimost	gmina miejsko-wiejska
Babimost	miasto
Babimost	obszar wiejski
Baborów	gmina miejsko-wiejska
Baborów	miasto
Baborów	obszar wiejski
Baboszewo	gmina wiejska
Bakałarzewo	gmina wiejska
Baligród	gmina wiejska
Banie	gmina wiejska
Banie Mazurskie	gmina wiejska
Baranowo	gmina wiejska
Baranów	gmina wiejska
Baranów Sandomierski	gmina miejsko-wiejska
Baranów Sandomierski	miasto
Baranów Sandomierski	obszar wiejski
Barciany	gmina wiejska
Barcin	gmina miejsko-wiejska
Barcin	miasto
Barcin	obszar wiejski
Barczewo	gmina miejsko-wiejska
Barczewo	miasto
Barczewo	obszar wiejski
Bardo	gmina miejsko-wiejska
Bardo	miasto
Bardo	obszar wiejski
Bargłów Kościelny	gmina wiejska
Barlinek	gmina miejsko-wiejska
Barlinek	miasto
Barlinek	obszar wiejski
Bartniczka	gmina wiejska
Bartoszyce	gmina miejska
Bartoszyce	gmina wiejska
Baruchowo	gmina wiejska
Barwice	gmina miejsko-wiejska
Barwice	miasto
Barwice	obszar wiejski
Batorz	gmina wiejska
Baćkowice	gmina wiejska
Bałtów	gmina wiejska
Bedlno	gmina wiejska
Bejsce	gmina wiejska
Belsk Duży	gmina wiejska
Bemowo	dzielnica
Besko	gmina wiejska
Bestwina	gmina wiejska
Bełchatów	gmina miejska
Bełchatów	gmina wiejska
Bełżec	gmina wiejska
Bełżyce	gmina miejsko-wiejska
Bełżyce	miasto
Bełżyce	obszar wiejski
Biała	gmina miejsko-wiejska
Biała	gmina wiejska
Biała	miasto
Biała	obszar wiejski
Biała Piska	gmina miejsko-wiejska
Biała Piska	miasto
Biała Piska	obszar wiejski
Biała Podlaska	gmina miejska
Biała Podlaska	gmina wiejska
Biała Podlaska	miasto na prawach powiatu
Biała Rawska	gmina miejsko-wiejska
Biała Rawska	miasto
Biała Rawska	obszar wiejski
Białaczów	gmina wiejska
Białe Błota	gmina wiejska
Białobrzegi	gmina miejsko-wiejska
Białobrzegi	gmina wiejska
Białobrzegi	miasto
Białobrzegi	obszar wiejski
Białogard	gmina miejska
Białogard	gmina wiejska
Białopole	gmina wiejska
Białowieża	gmina wiejska
Białołęka	dzielnica
Białośliwie	gmina wiejska
Biały Bór	gmina miejsko-wiejska
Biały Bór	miasto
Biały Bór	obszar wiejski
Biały Dunajec	gmina wiejska
Białystok	gmina miejska
Białystok	miasto na prawach powiatu
Biecz	gmina miejsko-wiejska
Biecz	miasto
Biecz	obszar wiejski
Bielany	dzielnica
Bielany	gmina wiejska
Bielawa	gmina miejska
Bielawy	gmina wiejska
Bielice	gmina wiejska
Bieliny	gmina wiejska
Bielsk	gmina wiejska
Bielsk Podlaski	gmina miejska
Bielsk Podlaski	gmina wiejska
Bielsko-Biała	gmina miejska
Bielsko-Biała	miasto na prawach powiatu
Bierawa	gmina wiejska
Bierutów	gmina miejsko-wiejska
Bierutów	miasto
Bierutów	obszar wiejski
Bieruń	gmina miejska
Bierzwnik	gmina wiejska
Biesiekierz	gmina wiejska
Bieżuń	gmina miejsko-wiejska
Bieżuń	miasto
Bieżuń	obszar wiejski
Bircza	gmina wiejska
Biskupice	gmina wiejska
Biskupiec	gmina miejsko-wiejska
Biskupiec	gmina wiejska
Biskupiec	miasto
Biskupiec	obszar wiejski
Biszcza	gmina wiejska
Bisztynek	gmina miejsko-wiejska
Bisztynek	miasto
Bisztynek	obszar wiejski
Biłgoraj	gmina miejska
Biłgoraj	gmina wiejska
Blachownia	gmina miejsko-wiejska
Blachownia	miasto
Blachownia	obszar wiejski
Bledzew	gmina wiejska
Blizanów	gmina wiejska
Bliżyn	gmina wiejska
Bobolice	gmina miejsko-wiejska
Bobolice	miasto
Bobolice	obszar wiejski
Bobowa	gmina miejsko-wiejska
Bobowa	miasto
Bobowa	obszar wiejski
Bobowo	gmina wiejska
Bobrowice	gmina wiejska
Bobrowniki	gmina wiejska
Bobrowo	gmina wiejska
Bochnia	gmina miejska
Bochnia	gmina wiejska
Bodzanów	gmina wiejska
Bodzechów	gmina wiejska
Bodzentyn	gmina miejsko-wiejska
Bodzentyn	miasto
Bodzentyn	obszar wiejski
Bogatynia	gmina miejsko-wiejska
Bogatynia	miasto
Bogatynia	obszar wiejski
Bogdaniec	gmina wiejska
Bogoria	gmina wiejska
Boguchwała	gmina miejsko-wiejska
Boguchwała	miasto
Boguchwała	obszar wiejski
Boguszów-Gorce	gmina miejska
Boguty-Pianki	gmina wiejska
Bojadła	gmina wiejska
Bojanowo	gmina miejsko-wiejska
Bojanowo	miasto
Bojanowo	obszar wiejski
Bojanów	gmina wiejska
Bojszowy	gmina wiejska
Boleszkowice	gmina wiejska
Bolesław	gmina wiejska
Bolesławiec	gmina miejska
Bolesławiec	gmina wiejska
Bolimów	gmina wiejska
Bolków	gmina miejsko-wiejska
Bolków	miasto
Bolków	obszar wiejski
Boniewo	gmina wiejska
Borek Wielkopolski	gmina miejsko-wiejska
Borek Wielkopolski	miasto
Borek Wielkopolski	obszar wiejski
Borki	gmina wiejska
Borkowice	gmina wiejska
Borne Sulinowo	gmina miejsko-wiejska
Borne Sulinowo	miasto
Borne Sulinowo	obszar wiejski
Boronów	gmina wiejska
Borowa	gmina wiejska
