poniedziałek	dzień tygodnia
wtorek	dzień tygodnia
środa	dzień tygodnia
czwartek	dzień tygodnia
piątek	dzień tygodnia
sobota	dzień tygodnia
niedziela	dzień tygodnia
styczeń	miesiąc
luty	miesiąc
marzec	miesiąc
kwiecień	miesiąc
maj	miesiąc
czerwiec	miesiąc
lipiec	miesiąc
sierpień	miesiąc
wrzesień	miesiąc
październik	miesiąc
listopad	miesiąc
grudzień	miesiąc
zima	pora roku
wiosna	pora roku
przedwiośnie	pora roku
lato	pora roku
polecie	pora roku
jesień	pora roku
O.	inicjał
R.	inicjał
S.	inicjał
I wojna światowa	wydarzenie
Instytut Pamięci Narodowej	instytucja
Ludowo-Demokratyczna Republika Jemenu	geograficzna
Mała Komorza	geograficzna
Nowy Rok	święto
Szkoła Policealna Pracowników Służb Socjalnych w Poznaniu	instytucja
Uniszki Gumowskie	geograficzna
Wielki Tydzień	święto
Zarząd Powiatowy Platformy Obywatelskiej	organizacja
Związek Radziecki	geograficzna
