Aleje Jerozolimskie	aleje
Aleje Ujazdowskie	aleje
aleja 1. Armii Wojska Polskiego	aleja
aleja 1. Armii Wojska Polskiego	aleja
aleja 3 Maja	aleja
aleja 3 Maja	aleja
aleja Armii Krajowej	aleja
aleja Aleksandra Zawadzkiego	aleja
aleja Armii Krajowej	aleja
aleja Armii Ludowej	aleja
aleja Bohaterów Września	aleja
aleja Bzów	aleja
aleja Dwudziestolatków	aleja
aleja Dzieci Polskich	aleja
aleja Emila Wedla	aleja
aleja Franciszka Żwirki i Stanisława Wigury	aleja
aleja Generała Antoniego Chruściela „Montera”	aleja
aleja Generała Władysława Sikorskiego	aleja
aleja Godziny „W”	aleja
aleja Jana Chrystiana Szucha	aleja
aleja Jana Pawła II	aleja
aleja Jana Rodowicza „Anody”	aleja
aleja Jerzego Waszyngtona	aleja
aleja Karola Świerczewskiego	aleja
aleja Kazimierza Lisieckiego „Dziadka”	aleja
aleja Komisji Edukacji Narodowej	aleja
aleja Komandosów	aleja
aleja Komisji Edukacji Narodowej	aleja
aleja Krakowska	aleja
aleja Księdza Józefa Stanka	aleja
aleja Księcia Józefa Poniatowskiego	aleja
aleja Lotników	aleja
aleja Marszałka Józefa Piłsudskiego	aleja
aleja Nadziei	aleja
aleja Narcyzy Żmichowskiej	aleja
aleja Na Skarpie	aleja
aleja Niepodległości	aleja
aleja 1. Armii Wojska Polskiego	aleja
aleja Piotra Drzewieckiego	aleja
aleja Polski Walczącej	aleja
aleja Promienistych	aleja
aleja Prymasa Tysiąclecia	aleja
aleja Przyjaciół	aleja
aleja Rewolucji Październikowej	aleja
aleja Róż	aleja
aleja Rzeczypospolitej	aleja
aleja Słowiańska	aleja
aleja Stalingradzka	aleja
aleja Stanisława Lorentza	aleja
aleja Stanów Zjednoczonych	aleja
aleja Szpitala Ujazdowskiego	aleja
aleja Sztandarów	aleja
aleja 3 Maja	aleja
aleja Tysiąclecia	aleja
aleja Wielkopolski	aleja
aleja Wilanowska	aleja
aleja Wincentego Witosa	aleja
aleja Władysława Giżyckiego	aleja
aleja Władysława Reymonta	aleja
aleja Wojska Polskiego	aleja
aleja Wyścigowa	aleja
aleja Wyzwolenia	aleja
aleja Załogi Samolotu „Kościuszko”	aleja
aleja Zgrupowania Armii Krajowej „Kryska”	aleja
aleja Zgrupowania Armii Krajowej „Kryska”	aleja
aleja Zieleniecka	aleja
aleja Zjednoczenia	aleja
aleja „Solidarności”	aleja
most Gdański	most
most Generała Stefana Grota-Roweckiego	most
most Księcia Józefa Poniatowskiego	most
most Łazienkowski	most
most Północny	most
most Siekierkowski	most
most Stanisława Kierbedzia	most
most Syreny	most
most Śląsko-Dąbrowski	most
most Świętokrzyski	most
most Toruński	most
plac 1831 Roku	plac
plac 1831 Roku	plac
plac 1905 Roku	plac
plac 1905 Roku	plac
plac Aleksandra Rembowskiego	plac
plac Artura Zawiszy „Czarnego”	plac
plac Bankowy	plac
plac Bernardyński	plac
plac Czerwca 1976 Roku	plac
plac Czerwca 1976 Roku	plac
plac Defilad	plac
plac Dionizego Henkla	plac
plac Emila Młynarskiego	plac
plac Feliksa Dzierżyńskiego	plac
plac Ferenca Keresztes-Fischera	plac
plac Gabriela Narutowicza	plac
plac Generała Jana Henryka Dąbrowskiego	plac
plac Generała Józefa Hallera	plac
plac Grunwaldzki	plac
plac Grzybowski	plac
plac Gwardii	plac
plac Inwalidów	plac
plac Jedności Robotniczej	plac
plac Joachima Lelewela	plac
plac Juliana Leńskiego	plac
plac Juliusza Osterwy	plac
plac Kasztelański	plac
plac Komuny Paryskiej	plac
plac Konfederacji	plac
plac Konstytucji	plac
plac Krasińskich	plac
plac Marszałka Józefa Piłsudskiego	plac
plac Mirowski	plac
plac Na Rozdrożu	plac
plac Opolski	plac
plac Politechniki	plac
plac Powstańców Warszawy	plac
plac Przymierza	plac
plac Słoneczny	plac
plac Sokratesa Starynkiewicza	plac
plac Stanisława Małachowskiego	plac
plac Światowida	plac
plac Tadeusza Kotarbińskiego	plac
plac Teatralny	plac
plac Thomasa Woodrowa Wilsona	plac
plac Trzech Krzyży	plac
plac UNICEF	plac
plac Unii Lubelskiej	plac
plac Weteranów 1863 Roku	plac
plac Weteranów 1863 Roku	plac
plac Wileński	plac
plac Wojska Polskiego	plac
plac Wolności	plac
plac Zamkowy	plac
plac Zbawiciela	plac
plac Zofii Wóycickiej	plac
plac Zwycięstwa	plac
plac Żelaznej Bramy	plac
rondo Babka	rondo
rondo Dżochara Dudajewa	rondo
rondo Generała Augusta Emila Fieldorfa „Nila”	rondo
rondo Generała Charles’a de Gaulle’a	rondo
rondo Ignacego Daszyńskiego	rondo
rondo Jazdy Polskiej	rondo
rondo Jerzego Waszyngtona	rondo
rondo Józefa Szczepańskiego „Ziutka”	rondo
rondo Kercelak	rondo
rondo Krystyny Krachelskiej	rondo
rondo Ligi Morskiej i Rzecznej	rondo
rondo Ofiar Zbrodni Katyńskiej	rondo
rondo ONZ	rondo
rondo Organizacji Narodów Zjednoczonych	rondo
rondo Pawła Jasienicy	rondo
rondo Podporucznika Feliksa Zaremby	rondo
rondo Romana Dmowskiego	rondo
rondo Stanisława Sedlaczka	rondo
rondo Stefana Starzyńskiego	rondo
rondo Wiatraczna	rondo
rondo Zdzisława Lubomirskiego	rondo
rondo Zesłańców Syberyjskich	rondo
rondo Zgrupowania Armii Krajowej „Radosław”	rondo
rondo Zgrupowania Armii Krajowej „Radosław”	rondo
rondo Żaba	rondo
ulica 11 Listopada	ulica
ulica 11 Listopada	ulica
ulica 15 Sierpnia	ulica
ulica 15 Sierpnia	ulica
ulica 17 Stycznia	ulica
ulica 17 Stycznia	ulica
ulica 1 Maja	ulica
ulica 1 Sierpnia	ulica
ulica 1. Praskiego Pułku	ulica
ulica 1 Maja	ulica
ulica 1 Sierpnia	ulica
ulica 1. Praskiego Pułku	ulica
ulica 20. Dywizji Piechoty Wojska Polskiego	ulica
ulica 21. Pułku Piechoty Dzieci Warszawy	ulica
ulica 22 Lipca	ulica
ulica 22 Lipca	ulica
ulica 27 Grudnia	ulica
ulica 27 Grudnia	ulica
ulica 29 Listopada	ulica
ulica 29 Listopada	ulica
ulica II Armii Wojska Polskiego	ulica
ulica 6 Sierpnia	ulica
ulica 6 Sierpnia	ulica
ulica Abecadło	ulica
ulica Achillesa	ulica
ulica Adampolska	ulica
ulica Adama Asnyka	ulica
ulica Adama Ciołkosza	ulica
ulica Adama Idźkowskiego	ulica
ulica Adama Jarzębskiego	ulica
ulica Adama Mickiewicza	ulica
ulica Adama Pługa	ulica
ulica Adama Próchnika	ulica
ulica Admiralska	ulica
ulica Adolfa Dygasińskiego	ulica
ulica Adolfa Pawińskiego	ulica
ulica Adolfa Suligowskiego	ulica
ulica Adolfa Warskiego	ulica
ulica Adriatycka	ulica
ulica Afrodyty	ulica
ulica Afrykańska	ulica
ulica Agatowa	ulica
ulica Agaty	ulica
ulica Agawy	ulica
ulica Agnieszki	ulica
ulica Agrarna	ulica
ulica Agrestowa	ulica
ulica Agrykola	ulica
ulica Akacjowa	ulica
ulica Akademicka	ulica
ulica Akantu	ulica
ulica Akcent	ulica
ulica Akermańska	ulica
ulica Aksamitna	ulica
ulica Aktorska	ulica
ulica Armii Krajowej	ulica
ulica Akurat	ulica
ulica Akustyczna	ulica
ulica Akwarelowa	ulica
ulica Alabastrowa	ulica
ulica Albatrosów	ulica
ulica Alberta Einsteina	ulica
ulica Albina Jakiela	ulica
ulica Aleksandra Bardiniego	ulica
ulica Aleksandra Brücknera	ulica
ulica Aleksandra Dyżewskiego	ulica
ulica Aleksandra Fleminga	ulica
ulica Aleksandra Fredry	ulica
ulica Aleksandra Gajkowicza	ulica
ulica Aleksandra Gierymskiego	ulica
ulica Aleksandra Janowskiego	ulica
ulica Aleksandra Kamińskiego	ulica
ulica Aleksandra Kostki Napierskiego	ulica
ulica Aleksandra Kotsisa	ulica
ulica Aleksandra Kowalskiego	ulica
ulica Aleksandra Kraushara	ulica
ulica Aleksandra Krywulta	ulica
ulica Aleksandra Orłowskiego	ulica
ulica Aleksandra Patkowskiego	ulica
ulica Aleksandra Prystora	ulica
ulica Aleksandra Solińskiego	ulica
ulica Aleksandra Sulkiewicza	ulica
ulica Aleksandra Świętochowskiego	ulica
ulica Aleksandra Waszkiewicza	ulica
ulica Aleksandra Waszkowskiego	ulica
ulica Aleksandra Wejnerta	ulica
ulica Aleksandra Zelwerowicza	ulica
ulica Aleksandrowska	ulica
ulica Aleksandry Śląskiej	ulica
ulica Alka Dawidowskiego	ulica
ulica Alfreda Lampego	ulica
ulica Alfreda Nobla	ulica
ulica Algierska	ulica
ulica Alpejska	ulica
ulica Alternatywy	ulica
ulica Altowa	ulica
ulica Aluzyjna	ulica
ulica Alzacka	ulica
ulica Amarantowa	ulica
ulica Ambaras	ulica
ulica Amelińska	ulica
ulica Ametystowa	ulica
ulica Analityczna	ulica
ulica Ananasowa	ulica
ulica Anastazego Kowalczyka	ulica
ulica Andromedy	ulica
ulica Andrutowa	ulica
ulica Andrychowska	ulica
ulica Andrzejowska	ulica
ulica Andrzeja Frycza Modrzewskiego	ulica
ulica Andrzeja Munka	ulica
ulica Andrzeja Pszenickiego	ulica
ulica Andrzeja Sołtana	ulica
ulica Andrzeja Struga	ulica
ulica Andrzeja Szomańskiego	ulica
ulica Andyjska	ulica
