ze	z	fixed
ok .	około	fixed
ok	około	fixed

##SKŁAD
#większej niż 12 tabl.
większej niż	więcej niż	fixed
większa niż	więcej niż	fixed
większe niż	więcej niż	fixed
nie więcej niż	nie więcej niż	fixed
nie większą niż	nie więcej niż	fixed
nie większej niż	nie więcej niż	fixed
większą niż	więcej niż	fixed
większymi niż	więcej niż	fixed
większych niż	więcej niż	fixed
w przybliżeniu	około	fixed
mniejsza niż	mniej niż	fixed
mniejszą niż	mniej niż	fixed
mniejsze niż	mniej niż	fixed
mniejszych niż	mniej niż	fixed
do maks .	do	fixed
do maksymalnie	do	fixed
