abp	arcybiskup	subst:_:_:m1
abp .	arcybiskup	subst:_:_:m1
abpa	arcybiskup	subst:sg:gen.acc:m1
adw	adwokat	subst:_:_:m1
And .	Andrzej	subst:_:_:m1
arch .	architekt	subst:_:_:m1
art .	artysta	subst:_:_:m1
asp .	aspirant	subst:_:_:m1
b .	brat	subst:_:_:m1
bł .	błogosławiony	adj:_:_:_:pos
bł .	błogosławiony	subst:_:_:m1
błog .	błogosławiony	subst:_:_:m1
bp	biskup	subst:_:_:m1
bp .	biskup	subst:_:_:m1
bpa	biskup	subst:sg:gen.acc:m1
Br .	brat	subst:_:_:m1
Br .	Bronisław	subst:_:_:m1
bryg .	brygadzista	subst:_:_:m1
c .	córka	subst:_:_:f
chor .	chorąży	subst:_:_:m1
dh	druh	subst:_:_:m1
dh .	druh	subst:_:_:m1
doc .	docent	subst:_:_:m1
dr	doktor	subst:_:_:m1
dr .	doktor	subst:sg:gen.dat.acc.inst.loc:m1
dra	doktor	subst:sg:gen.acc:m1
dr - a	doktor	subst:sg:gen.acc:m1
dyr .	dyrektor	subst:_:_:m1
ed .	editor	xxx
emergie	magister	xxx
fot .	fotograf	subst:_:_:m1
gen .	generał	subst:_:_:m1
Graż .	Grażyna	subst:_:_:f
h .	homoseksualista	subst:_:_:m1
hab .	habilitowany	adj:_:_:_:pos
harc .	harcmistrz	subst:_:_:m1
harcm .	harcmistrz	subst:_:_:m1
hetm .	hetman	subst:_:_:m1
hm .	harcmistrz	subst:_:_:m1
hm .	harcmistrzyni	subst:_:_:f
hr .	hrabia	subst:_:_:m1
insp .	inspektor	subst:_:_:m1
inż .	inżynier	subst:_:_:m1
JKM	Janusz Korwin-Mikke	subst:sg:_:m1
jr	junior	subst:_:_:m1
jr .	junior	subst:_:_:m1
kard .	kardynał	subst:_:_:m1
kanc .	kanclerz	subst:_:_:m1
kl .	kleryk	subst:_:_:m3
kmdr	komandor	subst:_:_:m1
kmdra	komandor	subst:sg:gen.acc:m1
kmr	komandor	subst:_:_:m1
kol .	kolega	subst:_:_:m1
kol .	koleżanka	subst:_:_:f
