#FIXME: nie ma form deprecjacyjnych
ABB - +A(subst:$n:$c:$g)	ABBA(subst:$n:$c:$g)
ANS - +A(subst:$n:$c:$g)	ANSA(subst:$n:$c:$g)
AP - +A(subst:$n:$c:$g)	APA(subst:$n:$c:$g)
CEFT - +A(subst:$n:$c:$g)	CEFTA(subst:$n:$c:$g)
CEF - +TA(subst:$n:$c:$g)	CEFTA(subst:$n:$c:$g)
EFT - +A(subst:$n:$c:$g)	EFTA(subst:$n:$c:$g)
EF - +TA(subst:$n:$c:$g)	EFTA(subst:$n:$c:$g)
ELT - +A(subst:$n:$c:$g)	ELTA(subst:$n:$c:$g)
EL - +TA(subst:$n:$c:$g)	ELTA(subst:$n:$c:$g)
ET - +A(subst:$n:$c:$g)	ETA(subst:$n:$c:$g)
E - +TA(subst:$n:$c:$g)	ETA(subst:$n:$c:$g)
FAM - +A(subst:$n:$c:$g)	FAMA(subst:$n:$c:$g)
FIF - +A(subst:$n:$c:$g)	FIFA(subst:$n:$c:$g)
IKE - +A(subst:$n:$c:$g)	IKEA(subst:$n:$c:$g)
LETT - +A(subst:$n:$c:$g)	LETTA(subst:$n:$c:$g)
LET - +TA(subst:$n:$c:$g)	LETTA(subst:$n:$c:$g)
MEN - +A(subst:$n:$c:$g)	MENA(subst:$n:$c:$g)
NAFT - +A(subst:$n:$c:$g)	NAFTA(subst:$n:$c:$g)
NAF - +TA(subst:$n:$c:$g)	NAFTA(subst:$n:$c:$g)
NAS - +A(subst:$n:$c:$g)	NASA(subst:$n:$c:$g)
SABEN - +A(subst:$n:$c:$g)	SABENA(subst:$n:$c:$g)
UEF - +A(subst:$n:$c:$g)	UEFA(subst:$n:$c:$g)
CI - +T(subst:$n:$c:$g)	CIT(subst:$n:$c:$g)
DA - +T(subst:$n:$c:$g)	DAT(subst:$n:$c:$g)
FA - +T(subst:$n:$c:$g)	FAT(subst:$n:$c:$g)
GAT - +T(subst:$n:$c:$g)	GATT(subst:$n:$c:$g)
KRRi - +T(subst:$n:$c:$g)	KRRiT(subst:$n:$c:$g)
