Abisynia	część miasta
Abisynia	część miejscowości
Abisynia	kolonia
Abisynia	osada
Abisynia Górska	część miejscowości
Abram	część miejscowości
Abramiki	część miejscowości
Abramowice	część miasta
Abramowice	przysiółek
Abramowice Kościelne	wieś
Abramowice Prywatne	wieś
Abramy	wieś
Abramów	część miejscowości
Abramów	wieś
Abramów-Kolonia	część miejscowości
Abramówka	część miejscowości
Achrymowce	wieś
Adama	część miejscowości
Adamcowa	część miejscowości
Adamczowice	wieś
Adamczycha	wieś
Adamczyki	część miejscowości
Adamczykowa Rola	część miejscowości
Adamek	wieś
Adamierz	wieś
Adamin	wieś
Adaminowo	wieś
Adaminów	część miejscowości
Adamka	część miejscowości
Adamka	wieś
Adamki	część miejscowości
Adamki	kolonia
Adamki	osada
Adamki	wieś
Adamkowo	wieś
Adamkówka	część miejscowości
Adamowa	część miejscowości
Adamowa Góra	wieś
Adamowe Łączki	część miejscowości
Adamowice	część miasta
Adamowice	wieś
Adamowizna	wieś
Adamowo	część miejscowości
Adamowo	kolonia
Adamowo	osada
Adamowo	wieś
Adamowo-Dozin	część miejscowości
Adamowo-Leśnictwo	osada leśna
Adamowo-Osiedle	część miejscowości
Adamowo-Zastawa	wieś
Adampol	część miasta
Adampol	kolonia
Adampol	osada
Adampol	osada leśna
Adampol	wieś
Adamusy	wieś
Adamy	część miejscowości
Adamy	przysiółek
Adamów	część miejscowości
Adamów	kolonia
Adamów	osada
Adamów	osada leśna
Adamów	przysiółek
Adamów	wieś
Adamów Drwalewski	wieś
Adamów Rososki	wieś
Adamów-Kolonia	część miejscowości
Adamów-Parcel	wieś
Adamów-Wieś	wieś
Adamówek	część miejscowości
Adamówek	wieś
Adamówka	część miasta
Adamówka	część miejscowości
Adamówka	osada leśna
Adamówka	przysiółek
Adamówka	wieś
Adelin	część miejscowości
Adelin	wieś
Adelina	wieś
Adelinów	kolonia
Adelinów	wieś
Adolfin	część miejscowości
Adolfin	kolonia
Adolfin	przysiółek
Adolfin	wieś
Adolfinów	osada
Adolfowo	część miejscowości
Adolfowo	wieś
Adolfów	część miejscowości
Adolfów	wieś
Adrianka	część miejscowości
Adwokatowo	część miejscowości
Afryka	wieś
Agatówka	osada leśna
Agatówka	wieś
Agnieszczyn	osada
Agnieszkowo	przysiółek
Agnieszkowo	wieś
Agnieszkowo-Krzyżówki	przysiółek
Agnieszków	część miejscowości
Agnopol	wieś
Agrafinówka	wieś
Akacyjki	część miejscowości
Aksamitowizna	część miejscowości
Aksamity	część miasta
Aksmanice	wieś
Akwizgran	wieś
Albertowa	część miejscowości
Albertowo	część miejscowości
Albertowsko	wieś
Albertynowo	część miejscowości
Albertów	część miejscowości
Albertów	wieś
Albertów-Cegielnia	część miejscowości
Albertów-Folwark	część miejscowości
Albigowa	wieś
Albinów	część miejscowości
Albinów	wieś
Albinów Duży	wieś
Albinów Mały	wieś
Albrechtówka	część miasta
Alej Borowa	część miejscowości
Alej Kaniowska	część miejscowości
Aleja Czaniecka	część miejscowości
Aleja Fabryczna	część miejscowości
Aleksandria	część miejscowości
Aleksandria	wieś
Aleksandria Druga	część miejscowości
Aleksandria Krzywowolska	wieś
Aleksandria Niedziałowska	wieś
Aleksandria Pierwsza	część miejscowości
Aleksandrowice	część miasta
Aleksandrowice	wieś
Aleksandrowiec	osada leśna
Aleksandrowo	część miejscowości
Aleksandrowo	kolonia
Aleksandrowo	osada
Aleksandrowo	osada leśna
Aleksandrowo	przysiółek
Aleksandrowo	wieś
Aleksandrynów	wieś
Aleksandrów	część miasta
Aleksandrów	część miejscowości
