Al .	Aleja	subst:pl:_:f
al .	aleja	subst:sg:_:f
dol .	dolina	subst:_:_:f
Dol .	dolina	subst:_:_:f
gm .	gmina	subst:_:_:f
gm .	gminny	adj:_:_:_:pos
J .	Jezioro	subst:_:_:n:ncol
J .	jezioro	subst:_:_:n:ncol
Jez .	Jezioro	subst:_:_:n:ncol
jez .	jezioro	subst:_:_:n:ncol
m .	morze	subst:_:_:n:ncol
m .	miasto	subst:_:_:n:ncol
m . st .	miasto stołeczne	subst:_:_:n:ncol
n	nad	prep:acc.inst:nwok
n .	nad	prep:acc.inst:nwok
os .	osiedle	subst:_:_:n:ncol
pl .	plac	subst:_:_:m3
pow .	powiat	subst:_:_:m3
rz .	rzeka	subst:_:_:f
ul .	ulica	subst:_:_:f
woj .	województwo	subst:_:_:n:ncol
woj .	wojewódzki	adj:_:_:_:pos
wyb .	wybrzeże	subst:_:_:n:ncol
W - w	Warszawa	subst:pl:gen:f
W - wa	Warszawa	subst:sg:nom:f
W - wach	Warszawa	subst:pl:loc:f
W - wami	Warszawa	subst:pl:inst:f
W - wie	Warszawa	subst:sg:dat:f
W - wie	Warszawa	subst:sg:loc:f
W - wo	Warszawa	subst:sg:voc:f
W - wom	Warszawa	subst:pl:dat:f
W - wy	Warszawa	subst:pl:acc:f
W - wy	Warszawa	subst:pl:nom:f
W - wy	Warszawa	subst:pl:voc:f
W - wy	Warszawa	subst:sg:gen:f
W - wą	Warszawa	subst:sg:inst:f
W - wę	Warszawa	subst:sg:acc:f

Do Banasia	Do Banasia	fixed
Do Baraków	Do Baraków	fixed
Do Białków	Do Białków	fixed
Do Białonia	Do Białonia	fixed
Do Biernata	Do Biernata	fixed
Do Błachuciaków	Do Błachuciaków	fixed
Do Błasiaków	Do Błasiaków	fixed
Do Bobra	Do Bobra	fixed
Do Broga	Do Broga	fixed
Do Bryłki	Do Bryłki	fixed
Do Budki	Do Budki	fixed
Do Chochoła	Do Chochoła	fixed
Do Chogna	Do Chogna	fixed
Do Cygali	Do Cygali	fixed
Do Cygoniów	Do Cygoniów	fixed
Do Cyrnali	Do Cyrnali	fixed
Do Czulów	Do Czulów	fixed
Do Ćwiecia	Do Ćwiecia	fixed
Do Doliny	Do Doliny	fixed
Do Drożdża	Do Drożdża	fixed
Do Dudów	Do Dudów	fixed
Do Dworu	Do Dworu	fixed
Do Dybczaków	Do Dybczaków	fixed
Do Dziadosza	Do Dziadosza	fixed
Do Dzikich	Do Dzikich	fixed
Do Fiederów	Do Fiederów	fixed
Do Flisara	Do Flisara	fixed
Do Fliska	Do Fliska	fixed
Do Florków	Do Florków	fixed
Do Galasa	Do Galasa	fixed
Do Gierki	Do Gierki	fixed
Do Głowacza	Do Głowacza	fixed
Do Gorli	Do Gorli	fixed
Do Grajki	Do Grajki	fixed
Do Graniów	Do Graniów	fixed
Do Gronia	Do Gronia	fixed
Do Gustyniaka	Do Gustyniaka	fixed
Do Hutyrów	Do Hutyrów	fixed
Do Jakubca	Do Jakubca	fixed
Do Jamy	Do Jamy	fixed
Do Jani	Do Jani	fixed
Do Janów	Do Janów	fixed
Do Jasieniarza	Do Jasieniarza	fixed
Do Jędrysków	Do Jędrysków	fixed
Do Judki	Do Judki	fixed
Do Judy	Do Judy	fixed
Do Kabata	Do Kabata	fixed
Do Kaima	Do Kaima	fixed
Do Kaszy	Do Kaszy	fixed
Do Kiwaja	Do Kiwaja	fixed
Do Knopów	Do Knopów	fixed
Do Kołodzieja	Do Kołodzieja	fixed
Do Kormanów	Do Kormanów	fixed
Do Kozaków	Do Kozaków	fixed
Do Kręciaków	Do Kręciaków	fixed
Do Krzoski	Do Krzoski	fixed
Do Krzysia	Do Krzysia	fixed
Do Kubaśnego	Do Kubaśnego	fixed
Do Kubiców	Do Kubiców	fixed
Do Kubika	Do Kubika	fixed
Do Kudziów	Do Kudziów	fixed
Do Kurka	Do Kurka	fixed
Do Kutry	Do Kutry	fixed
Do Kuźli	Do Kuźli	fixed
Do Lacha pod Fabryką	Do Lacha pod Fabryką	fixed
Do Lacha pod Kościołem	Do Lacha pod Kościołem	fixed
Do Lacha pod Krzyżową	Do Lacha pod Krzyżową	fixed
Do Lejawów	Do Lejawów	fixed
Do Leśnych	Do Leśnych	fixed
Do Liszki	Do Liszki	fixed
Do Lizonia	Do Lizonia	fixed
Do Lużnej	Do Lużnej	fixed
Do Łukaszki	Do Łukaszki	fixed
Do Łyśnia	Do Łyśnia	fixed
Do Madejów	Do Madejów	fixed
Do Maludego	Do Maludego	fixed
Do Marcina	Do Marcina	fixed
Do Masłonia	Do Masłonia	fixed
Do Michałowskich	Do Michałowskich	fixed
Do Micherdów	Do Micherdów	fixed
Do Michny	Do Michny	fixed
Do Miśkowca	Do Miśkowca	fixed
Do Młyna	Do Młyna	fixed
Do Mołdyrza	Do Mołdyrza	fixed
Do Morysa	Do Morysa	fixed
Do Mostu	Do Mostu	fixed
Do Musiaków	Do Musiaków	fixed
Do Myszy	Do Myszy	fixed
Do Nawieśniaka	Do Nawieśniaka	fixed
Do Nowaków	Do Nowaków	fixed
Do Noworolnika	Do Noworolnika	fixed
Do Obory	Do Obory	fixed
Do Ogórka	Do Ogórka	fixed
Do Ogryzka	Do Ogryzka	fixed
Do Olejarza	Do Olejarza	fixed
Do Oleksiaków	Do Oleksiaków	fixed
Do Palacza	Do Palacza	fixed
Do Pali	Do Pali	fixed
Do Palki	Do Palki	fixed
Do Palkija	Do Palkija	fixed
Do Pawlaka	Do Pawlaka	fixed
Do Paździorów	Do Paździorów	fixed
Do Piechówki	Do Piechówki	fixed
Do Pindela	Do Pindela	fixed
Do Plaskonia	Do Plaskonia	fixed
Do Plenia	Do Plenia	fixed
Do Płachcioka	Do Płachcioka	fixed
Do Płoszczycy	Do Płoszczycy	fixed
Do Podsadłów	Do Podsadłów	fixed
Do Pogwizdów	Do Pogwizdów	fixed
Do Polany	Do Polany	fixed
Do Porębskich	Do Porębskich	fixed
Do Porucznika	Do Porucznika	fixed
Do Potoka	Do Potoka	fixed
Do Przybytka	Do Przybytka	fixed
Do Pyków	Do Pyków	fixed
Do Rakoczego	Do Rakoczego	fixed
Do Rusów	Do Rusów	fixed
Do Rybki	Do Rybki	fixed
Do Sabury	Do Sabury	fixed
Do Sarysza	Do Sarysza	fixed
Do Sendyka	Do Sendyka	fixed
Do Serafina	Do Serafina	fixed
Do Sobasa	Do Sobasa	fixed
Do Stachurów	Do Stachurów	fixed
Do Szczepańskiego	Do Szczepańskiego	fixed
Do Szerokiej Drogi	Do Szerokiej Drogi	fixed
Do Szerszenia	Do Szerszenia	fixed
Do Szewczyków	Do Szewczyków	fixed
Do Szymiczków	Do Szymiczków	fixed
Do Świdra	Do Świdra	fixed
Do Tanistry	Do Tanistry	fixed
Do Urbańszczoka	Do Urbańszczoka	fixed
Do Wałoniów	Do Wałoniów	fixed
Do Wawrzyczków	Do Wawrzyczków	fixed
Do Wawrzyńca	Do Wawrzyńca	fixed
Do Wątora	Do Wątora	fixed
Do Wojtusia	Do Wojtusia	fixed
Do Wydry	Do Wydry	fixed
Do Zająca	Do Zająca	fixed
Do Zrębu	Do Zrębu	fixed
Do Żądły	Do Żądły	fixed
Do Żołądka	Do Żołądka	fixed
Ku Brześciu	Ku Brześciu	fixed
Ku Cegielni	Ku Cegielni	fixed
Ku Dębianom	Ku Dębianom	fixed
Ku Glinkowi	Ku Glinkowi	fixed
Ku Gnojnicy	Ku Gnojnicy	fixed
Ku Gościńcu	Ku Gościńcu	fixed
Ku Grabom	Ku Grabom	fixed
Ku Guźlinu	Ku Guźlinu	fixed
Ku Jaronowicom	Ku Jaronowicom	fixed
Ku Józefowu	Ku Józefowu	fixed
Ku Kępce	Ku Kępce	fixed
Ku Koniecznu	Ku Koniecznu	fixed
Ku Kruszynu	Ku Kruszynu	fixed
Ku Kubłowu	Ku Kubłowu	fixed
Ku Litoborzu	Ku Litoborzu	fixed
Ku Ogarce	Ku Ogarce	fixed
Ku Szkodowej	Ku Szkodowej	fixed
Ku Wólce	Ku Wólce	fixed
Ku Zakrzowiu	Ku Zakrzowiu	fixed
Nad Białą	Nad Białą	fixed
Nad Borsukami	Nad Borsukami	fixed
Nad Brdą	Nad Brdą	fixed
Nad Brniem	Nad Brniem	fixed
Nad Browarem	Nad Browarem	fixed
Nad Brukiem	Nad Brukiem	fixed
Nad Brzeziną	Nad Brzeziną	fixed
Nad Bugiem	Nad Bugiem	fixed
Nad Dunajcem	Nad Dunajcem	fixed
Nad Dworem	Nad Dworem	fixed
Nad Gminną Drogą	Nad Gminną Drogą	fixed
Nad Gościńcem	Nad Gościńcem	fixed
Nad Grądkiem	Nad Grądkiem	fixed
Nad Jazem	Nad Jazem	fixed
Nad Jeziorem	Nad Jeziorem	fixed
Nad Kalonką	Nad Kalonką	fixed
